Date,Text,Brand,Sentimen
01/2024,point coffee coffe fore kopi kenangan jco janji jiwa,fore,positive
01/2024,fore flash kopi kenangan tomoro tuku kqtanya enak banget coba ayokk masi ko,fore,positive
01/2024,fore akhir2 suka titik koma,fore,positive
01/2024,fore kopi kenangan sih jagoan,fore,positive
01/2024,kopi saku point coffee fore edisi butterscotch cloud coffee koppi,fore,neutral
01/2024,fore tuku hati,fore,positive
01/2024,tuku arah fore janji jiwa kopi kenangan,fore,neutral
01/2024,fore tolonglah lebihh enakk,fore,positive
01/2024,fore sihhh,fore,negative
01/2024,fore sih,fore,negative
01/2024,point coffee fore tuku kopi kenangan tomoro,fore,positive
01/2024,kopi nongkrongnya kopi sih mestinya banget enak fore point coffee coffee sih,fore,positive
01/2024,tuku fore,fore,negative
01/2024,point coffee coffee tuku kopi kenangan fore,fore,positive
01/2024,fore tobys coffee shop indie enak,fore,positive
01/2024,fore cobain deeh enak promo appsnya harganya beda bx tomoro enak aduuuh dom sih malang rekomendasi kopi enak malang,fore,positive
01/2024,fore kopi kenangan tuku point coffee coffee sih minum,fore,positive
01/2024,tim fore,fore,positive
01/2024,fore janjiw kopi kenangan point coffee coffe coffe shop tuhhhh dom ngomong-ngomong,fore,positive
01/2024,fore enak diboikot,fore,positive
01/2024,point coffee juara cabangnya fore djournal calf tomoro and another local coffeeshop dom bandung dm ajaa rekomen enak,fore,positive
01/2024,cobain fore point coffee,fore,positive
01/2024,fore enak,fore,positive
01/2024,suka fore non coffe enakk,fore,positive
01/2024,fore sih enak dibawah sbuxionis harganya,fore,positive
01/2024,kubeli iya promo janjiw kopi kenangan fore lawson point coffee coffee akhir2 tomoro,fore,neutral
01/2024,fore tomoro tuku,fore,positive
01/2024,fore kopi kenangan coffee shop kecil2 enak krna ownernya anak muda suka nongkrong,fore,positive
01/2024,nyoba st4rb4k sih wkwk ngopi enak2 cafe2 lokal kecil lingkungan nyebut brand fore janjiw kopi kenangan melanglang buana kopi enak akhir2 fore menarik banget,fore,positive
01/2024,tuku fore,fore,negative
01/2024,point coffee coffee fore kak sumpah kalah enak starbucks murahhh,fore,positive
01/2024,fore tuku,fore,positive
01/2024,fore tuku calf animo shay,fore,neutral
01/2024,fore tuku lahh,fore,positive
01/2024,terpikirkan forepointcoffe,fore,neutral
01/2024,dom iya fore dom solo jogja couvee dom magelang kofibru,fore,neutral
01/2024,banyakkk cari kopi menurutku tuku fore calf calf kayaknya tauu enak bangett kopinya menurutku matcha tomoro enakk tipe matcha pahittt,fore,positive
01/2024,cafe lokal mu opsi fore point coffee coffee enak bikin hemat atur sesuka kopi bubuk nya coba waringkas krimer gula aren dijual dipasaran susu nya pakai oatside pilih fresh milk,fore,positive
01/2024,fore jco,fore,negative
01/2024,fore tuku point coffee,fore,positive
01/2024,tomoro tuku foree da bestt sii pilih dr ituu local pride salah correct me if i'm wrong,fore,positive
01/2024,fore ejji yoi kona kopi kalyan zerogram kopi gatau kota gak kalu sby,fore,neutral
01/2024,coklat bikin pas minum terharu enak banget berenti2 cerita org fore enak disimpen sisanya dikulkas pas diminum enak wkwkwk pulang kereta beli melulu large,fore,positive
01/2024,fore enakkk banget sayang gabisa nongkrong,fore,positive
01/2024,fore deket rumahku nongkrong kerja kafe hehehe,fore,positive
01/2024,tuku fore tomoro,fore,positive
01/2024,fore tuku point coffee coffe peskop murah,fore,positive
01/2024,smg beli fore kopi shop lokal rumah kofibru tu enak,fore,positive
01/2024,fore point coffee nya mirp,fore,positive
01/2024,teman-teman starbucks sih pindah fore tuku tomoro,fore,positive
01/2024,tuku fore best so far sih,fore,positive
01/2024,fore sedap,fore,positive
01/2024,calf coffee enak fore manamana,fore,positive
01/2024,fore enakkk tempatnya cozy banget,fore,positive
01/2024,flash coffee tuku tomoro fore,fore,positive
01/2024,fore enak banget salt creamnya matchanya gak kalah kaya sb tomoro mantap kopinya,fore,positive
01/2024,fore bandung daerah du enak nongkrong,fore,positive
01/2024,tuku fore tomoro kopkenfamima siih favorit diluar starbucks,fore,positive
01/2024,kopi kenangan fore,fore,positive
01/2024,fore point coffee coffee sihh,fore,positive
01/2024,jkrt tnrg maxx coffee fore djournal enak vibes2 nya bener2 cocok kerja serius gak norak kopi nya berasa classy,fore,positive
01/2024,tuku fore favorit,fore,positive
01/2024,fore sie kadang point coffee,fore,positive
01/2024,nescafe zero gula fore kopinya biar americano gak gak cocok bikin deg2an kopi kenangan kopinya gak cocok perut boro2 ngantuk sakit perut melek,fore,negative
01/2024,nescafe classic coffee shop americano nya fore deh strong,fore,positive
01/2024,tuku fore fam mart point coffee,fore,positive
01/2024,point coffee coffee nderr sumpah enakk fore murah,fore,positive
01/2024,fore tomoro kopi kenangan,fore,positive
01/2024,point coffee fore janjiw,fore,neutral
01/2024,tomoroforekopkenjanjiwpoint,fore,neutral
01/2024,tuku point coffee coffee fore,fore,positive
01/2024,tuku fore point coffee,fore,neutral
01/2024,point coffee rasane koyo fore,fore,positive
01/2024,tomoro point coffee sih fore bekum coba enak,fore,positive
01/2024,fore kenangan janji jiwa jco tomoro coffee roti o cafe lokal daerah,fore,positive
01/2024,fore tomoro tuku 3 enak mah tergolong mana2 tempatnya oke,fore,positive
01/2024,fore plissss minum fore mikir pengganti sbx harga murah,fore,positive
01/2024,samaan aman kopsus tetangga djournal suka kopi rempahnya sebelahan peoples cafe enak pesen makan fore double shaken latte mesen gula pengen manis engga manis2 banget,fore,positive
01/2024,point coffee enak fore comfy,fore,positive
01/2024,fore creamy varian sih teman-teman pengen nyoba suka strong kopinya,fore,positive
01/2024,enakan fore,fore,neutral
01/2024,menyimak rep orangorang membeli fore salah pesen,fore,neutral
01/2024,ihh sebel banget deket fore,fore,negative
01/2024,engga sih kak namanya aslinya kopi irish tuh mengandung wishki tetep fore bahannya halal namanya irish coffee halal gacoan var mie setan iblis mie var gacoan mie suit biar halal,fore,positive
01/2024,berartii sertifikasi halal nya keluar iya kakak dm fore nya langsungg,fore,neutral
01/2024,gak fotonya fore buttercream latte best coffee evah,fore,positive
01/2024,fore butterscoath kopi braun,fore,positive
01/2024,kopi tuku gak namanya pokoknya kopsus gula aren kopi kenangan ceo secret fore butterscot sea salt point coffee coffee palm gula latte coklat frappe gula,fore,positive
01/2024,fore pesennya butterscotch seasalt latte enak bgtt,fore,positive
01/2024,fore trgantung budget sih,fore,negative
01/2024,point coffee fore mahal kecil,fore,negative
01/2024,point coffee fore kemanisan,fore,positive
01/2024,fore sebenernya kopi baper enak2 murah gula nya gak custom manis gak manis suka kopi manis pilih kopi baper instead of fore,fore,positive
01/2024,fore rumah milih point coffee deket,fore,positive
01/2024,fore aduh deh gak beli fore pengen berry americanonya,fore,negative
01/2024,coba fore,fore,neutral
01/2024,fore jauhh,fore,negative
01/2024,habis beli fore aaaaaaaa,fore,negative
01/2024,pngen fore,fore,neutral
01/2024,kangen fore,fore,positive
01/2024,mamaku tipe gini and so opposite with my dad cari tengahnya beli martabak roti breadtalk dimakan gabisa bikin wkwkwkwkwk ayah mah ditambah belikan kopi fore or kopi kenangan aman dahh he,fore,positive
01/2024,duhh favorit ku deh minum fore pengen,fore,positive
01/2024,fore ads beraps cup kak daftar menunya mutasi poin kenangan,fore,neutral
02/2024,pagi dagang buahgorengansayur lauk matengburjoburyamsarirotiroti rumahan siangbaksotahu bulatklepon sore ampe mlmlumpia jajanan laen nyebrang ajagacoanpijahatyosinoyakopkenforehokbenjanjiwkaepsimixueangkringan,fore,positive
02/2024,coklat siomay kakak perempuan gak janjiw gak kopi kenangan fore mff cilok brownis mie goreng sate ayam ice cream semangka baso aci salad buah kangkung,fore,positive
02/2024,keju suka dua2 kopi kopi kenangan jarang minum janjiw suka fore cilok brownies kwetiaw sate ayam gelato semangka baso aci salad sayur both,fore,positive
02/2024,keju batagor kakak perempuan duanya suka fore cilok blackforest duanya suka mie instant sate kambing ice cream melon seblak salad buah bayam,fore,positive
02/2024,810masih enakan fore tuku,fore,neutral
02/2024,tempatnya enakk tolonglah posisi nyaman bangett kopi nya gaa 610 minuman non coffee kayaknyaa enakk kataa temenku amann in my opinion pecinta kopi fore ajaa,fore,positive
02/2024,monmaap overrated menurutku suka fore my love,fore,positive
02/2024,enakan fore si matcha foresbuxkopkenpointtomorojanjiw,fore,neutral
02/2024,enak kopinyaaa minuman seger strawberry tea lumayan murce mursida prefer fore sih,fore,positive
02/2024,maaf enak fore starbucks,fore,positive
02/2024,ouu nugas doang fore,fore,neutral
02/2024,kopinya iya masuk enak enak banget pokoknya tuku nomer 1 sih fore,fore,positive
02/2024,fore wkwkw,fore,negative
02/2024,strbk tawan sushi tei fore,fore,neutral
02/2024,nyoba ngopi fore kasihan deh,fore,negative
02/2024,coba fore janjiw b uang dalem list tomoro,fore,neutral
02/2024,fore kopi kenangan outside matcha latte kak,fore,positive
02/2024,caramel praline fore kesukaan,fore,positive
02/2024,fore blu bayar pakai blu 24k,fore,neutral
02/2024,fore janjiw enak mirip susu kedelai,fore,positive
02/2024,minum kopi fore perutnya sakit enaak sedih gak minum kopi fore,fore,negative
02/2024,beli fore otak digunain,fore,neutral
02/2024,fore tuh beda outlet beda,fore,neutral
02/2024,beli americano fore enak sih iya standar namanya americano iya gitu2 doang,fore,positive
02/2024,enak point coffee cafe fore,fore,positive
02/2024,kakkk fore enakk,fore,positive
02/2024,matcha nya kak matcha lebi suka tomoro kopi lebi suka fore non coffee kayak coklat lain-lain lebi suka tomoro sih mengerti kopi fore pas buatku,fore,positive
02/2024,kakkk suka kopi mauu explore matcha2 sih kak menurutku matcha fore normal gula tuh manis banget tomoro kak pahitnya jugaa kerasa banget gak,fore,positive
02/2024,rate kopinya tomoro 110 nyoba ragu mentok fore,fore,negative
02/2024,enak sepetnya creamy sih harganya 1112 fore prefer kenangan,fore,positive
02/2024,akhir2 suka fore,fore,positive
02/2024,agak distract kirain fore kaget tumbenan fore murah banget 25rb point coffee coffee nyobain share reviewnya yaa,fore,positive
02/2024,mjb not sender butterscotch sea salt latte nya fore udah best juana enak sweet,fore,positive
02/2024,mirip butterscoth sea salt nya fore gk siii beli fore kejauhan kotaku,fore,positive
02/2024,kakak nyobain fore,fore,neutral
02/2024,yaa klaten fore,fore,neutral
02/2024,daerahku fore,fore,positive
02/2024,menurutku fore berasa kopinya point coffee engga beda menurutku kak,fore,positive
02/2024,review matcha fore gais coba,fore,negative
02/2024,hampir ku kira fore jualan mi,fore,neutral
02/2024,enak penyuka kopi strong salah kopi lokal bikin lepas starbucks fore fore kan outletnya point coffee hampir indomaret,fore,positive
02/2024,heuuuu pengen coba butterscotch sea salt nya fore besok iya,fore,positive
02/2024,beneran seenak opsi dr fore milk butterscotch,fore,positive
02/2024,enak banget kaaakkk mirip butterscotch fore versi strong,fore,positive
02/2024,point coffee coffee coba menu rekomendednya suka earl grey mikl tea grass jelly mya tomoro coba menu suka oat manuka honey coffee fore butterscotch sea salt latte haus taro es kakak perempuan redaksi velvet,fore,positive
02/2024,point coffee americano tomoro americano ngikutin org he fore butterscotch haus perna esteh perna,fore,positive
02/2024,point coffee coffee kopi baper keracunan teman smp original enak suka espressonya kerja tomoro kerancunan teman smp coconutnya enak manuka honey coffee enak fore butterscotch sea salt latte ofc haus skip es kakak perempuan skip,fore,positive
02/2024,point coffee coffee matcha frappe tomoro fore butterscotch sea salt latte haus kitkat haus skrng kyknya uang diganti beng beng gasalah esteh indonesia chizu redvelved,fore,positive
02/2024,point coffee coffee signature chocolate espresso pls enak banget pait kopi coklat tomoro hojicha fore haus kitkatnya coba enakkk masuk recommended menu esteh,fore,positive
02/2024,point coffee coffee beli matcha doang b tomoro matchanya sepet enak fore blom haus es coklat es krim milo enak es kakak perempuan indonesia es kakak perempuan lemon cokolateh kakak perempuan susu,fore,positive
02/2024,point coffee coffee kopi baper fore americanomanuka americano tomoro gapernah beli gaus es kakak perempuan indonesia gula nya banget,fore,positive
02/2024,point coffee coffee latte tomoro fore haus thaitea esteh indonesia thaitea maaf minuman minum iya gk kopi thaitea milk tea es kakak perempuan es jeruk es coklat,fore,negative
02/2024,point coffee coffee dolce ice tomoro coffee frape fore haus es kakak perempuan,fore,positive
02/2024,point coffee coffee caramelmatcha frappe tomoro oat manuka fore butterscoth latte caramile pralinw haus coklat kitkat esteh indonesia susu nusantara,fore,positive
02/2024,point coffee sign choco tomoro matcha latte nyoba fore bjir haus ovaltine cheese es kakak perempuan coba rv cheese doang cocok,fore,positive
02/2024,point coffee suka tomoro jasmine smoothies fore sea salt hibiscus yakult haus mango yakult cheese kitkat es kakak perempuan green tea markissa kiwi,fore,positive
02/2024,point coffee coffee iced salted caramel latte fore classic latte haus es kakak perempuan nyoba laen,fore,positive
02/2024,point coffee coffee tomoro fore haus milotaro esteh indonesia mah beli es gocengan thaitea matcha,fore,positive
02/2024,point coffee coffe caramel machiato tomoro coffe aren fore butterschote creamy latte haus es kakak perempuan wkwk,fore,positive
02/2024,point coffee coffee caramel machiato tomoro oat latte fore kopi pandan haus esteh indonesia esteh nusantara,fore,positive
02/2024,point coffee matcha latte espresso tomoro suka tbh fore aren latte butterscotch sea salt latte haus gatau es kakak perempuan indo cokolateh pengen creamy ditambah sea salt cream,fore,positive
02/2024,point coffee coffee tomoro fore pesen cappuccino esteh indo chizu redvelvet es kakak perempuan redvelvet coba haus,fore,positive
02/2024,point coffee matcha frappe tomoro gula aren pokoknya matcha oat latte fore butterscotch haus kitkat es kakak perempuan chizu redvelvet,fore,positive
02/2024,point coffee coffee caramel macchiato gula tomoro nyobain caramel macchiatonya fore butterscotch sea salt gula haus black tea pokoknya tehnya lupa namanya es krim milo esteh indonesia es kakak perempuan nusantara egg puding gula,fore,positive
02/2024,point coffee kopi jaman tomoro kopi aren fore butterscoth haus esteh,fore,positive
02/2024,tomoro grapefruit americano seger banget pls coba chocolatenya fore buttercream chocmint,fore,positive
02/2024,point coffee coffee matchachio matcha cookies and cream tomoro matcha oat latte hojica oat latte fore coba haus alpukat sih tuh namanya es kakak perempuan indonesia rv chizu,fore,positive
02/2024,point coffee coffee mysterius green kiwi pandan tomoro coconut latte hojicha latte fore choco mint buttercream butterscotch seasalt latte caramel praline macchiato haus tea series black jasmine kakak perempuan susu melati es kakak perempuan indo es kakak perempuan susu nusaberry,fore,positive
02/2024,point coffee sakura milk tea cofee jelly tomoro fore butterscotch sea salt latte vanilla ocrumbs fore junior haus coba malang es kakak perempuan indonesia cirengnya,fore,positive
02/2024,point coffee coffee matcha tomoro matcha aren latte fore haus collab kitkat esteh indonesia milk tea,fore,positive
02/2024,point coffee matcha frappe tomoro favorit nyobain menu matcha nya fore gula aren haus thai tea es kakak perempuan chizu redvelvet,fore,positive
02/2024,point coffee coffe caramel machiato tomoro nyoba wkwk fore nyoba haus nyoba wkwk es kakak perempuan indonesia chizu redvelvet es kakak perempuan nusantara,fore,positive
02/2024,point coffee coffee vanilla latte kadang kopi saku kopi baper masukkan gelas tomoro latte fore butterscotch haus inget esteh indonesia blom pernaa,fore,positive
02/2024,point coffee caramel macchiato matcha lattefrappe oatmilk 0 gula fore butterscotch seasalt latte pandan tomoro haus es kakak perempuan nyoba b uang favorit flash coffee macadamia latte,fore,positive
02/2024,tomoro big sih ane kureng googling search fore terdekat,fore,neutral
02/2024,point coffee coffee cookies cream caramel machiato req gula smua tomoro prna nyoba matcha nya mnrtku fore butterscotch sea salt latte enak bgtttt haus kitkat enak banget es kakak perempuan chizu rv si favorit,fore,positive
02/2024,point coffee coffe avocado frappe tomoro nyobainn fore butterscotch latte haus bobanya es kakak perempuan warna merah lupa namanya,fore,positive
02/2024,point coffee coffe palm gula latte tomoro coba tomoro coffe gak salah masuk fore butterscoth sea salt latte caramel machiato cafe malt latte hibiscus berry yakult haus choco lava milo es kakak perempuan es kakak perempuan mango greentea,fore,positive
02/2024,point coffee coffe matcha frappe tomoro matcha 2022 akhir2023 awal buka nyoba kopinya lupa mungkin karenaaa sespesial hahaha fore buttercream latte haus es kakak perempuan gatau lupa manisnyaa bgtbgtbgt ku sukaaaa,fore,positive
02/2024,si pecinta kopi creamy merekomendasikan point coffee coffee kopi baper coldbrew caramel tomoro cocok fore caramel praline macchiato gula with almond milk haus es kakak perempuan indonesia esteh nusantara gula with egg pudding,fore,positive
02/2024,pc signature chocolate espresso avocadofee both are gula tomoro coba fore coba haus coba eti beli semenjak kasus adminnya nge somasi org medsos dalih pencemaran nama pdhl org tsb cmn edukasi,fore,positive
02/2024,point coffee matcha frappe tomoro matcha oat latte fore butterscotch sea salt haus es kakak perempuan indonesia cokolateh deh enak bgtt,fore,positive
02/2024,point coffee espresso frappe tomoro americano fore americano haus manggo yakult eti es kakak perempuan,fore,positive
02/2024,point coffee coffee palm gula latte matchanya enak tomoro matcha latte hojicha forebutterscotch sea salt latte haus es kakak perempuan indonesia es kakak perempuan nusantara chizzu alpukat enyak,fore,positive
02/2024,point coffee coffee ice shaken black peach tomoro nemu suka fore berry manuka americano haus suka esteh tertarik coba,fore,positive
02/2024,point coffee coffee matcha tomoro coba fore buttercotch sea salt haus coba esteh indonesia chizu matcha,fore,positive
02/2024,point coffee matcha frappeiced palm gula latte caramel macchiato tomoro nemu ok lidah fore butterscotch sea salt buttercream tiramisu caramel praline haus jarang beli manis banget wlpn udah dikurangin gulanya es kakak perempuan chizu avo lesshalf gula,fore,positive
02/2024,point coffee coffee enak cookies cream uang lawan tomoro fore dibeliin kakak gatau namanya pls kayaknya around latte haus random wkwkw gapernah nyobain es kakak perempuan,fore,positive
02/2024,caffe pesen minuman coklat gasuka coklatnya point coffee coffee es kakak perempuan indonesia suka tomoro fore haus coba nnti deh outletnya deket rumah cm niatnya,fore,positive
02/2024,point coffee coffee jrg beli point coffee jagoan tomoro tomoro oat latte fore double iced shaken latte haus esteh indonesia es kakak perempuan susu nusantara,fore,positive
02/2024,1 top 3 point coffee coffee palm gula latte gula 30 ice latte susu ganti oat gula creamy shaken latte gula 30 muter 3 menu 2 fore butterscotch sea salt latte sisanya cobain menu,fore,positive
02/2024,point coffee coffee creamy tiramisu latte menu sumpa enakk banget tomoro basic aren latte fore butterscoth sea salt haus nyobain es kakak perempuan indonesia skipp gasuka,fore,positive
02/2024,tomoro oatside latte aren latte coconut nya lumayan laah fore butterscoth sea salt aren latte enakk3 rekomenin based nya susu blend muaaaaanis pol,fore,positive
02/2024,point coffee all coffee variant sih lattecappuccino gula iya tomoro seasonal latte ethiophian kintamani both lattes gula fore enak iya kerasa kopi lidah haus not recommended es kakak perempuan chizus are so so,fore,positive
02/2024,point coffee coffee matcha frappe palm gula latte tomoro tomoro oat latte hojicha oat latte panas fore butterscotch sea salt latte haus kit kat haus gatau namanya es kakak perempuan redvelvel gula,fore,positive
02/2024,point coffee coffee mysterious green frappe matcha tomor pernahh fore butterscotch buttercream menu pokoke haus haus kitkattt es kakak perempuan uang ih manis btul kuat,fore,positive
02/2024,point coffee coffee caramel macchiato tomoro nemu fore hazelnut choco haus hazelbut choco es kakak perempuan minum manis poll suka taro chizu,fore,positive
02/2024,point coffee coffee matcha frappe and caramel macchiato tomoro nyoba cappuccino sih suka pahit gula fore butterscotch sea salt and terang buttercream latte haus mango yakult es kakak perempuan indonesia chizu redaksi velvet and matcha,fore,positive
02/2024,kopi point coffee coffee janji jiwa kenangan fore tomoro haus es kakak perempuan,fore,positive
02/2024,matcha tomoro point coffee coffee kenangan janji jiwa fore haus es kakak perempuan,fore,positive
02/2024,point coffee coffee palm gula latte tomoro uang disini fore buttercream latte pandan latte haus kayaknya uang disini esteh indonesia uang cocok,fore,positive
02/2024,point coffee matcha frappe avocado lime tomoro nyobai oat latte fore haus es kakak perempuan,fore,positive
02/2024,point coffee matcha iced half gula tomoro nyoba fore caramel praline macchiato iced butterscotch sea salt latte haus nyoba es kakak perempuan indonesia es kakak perempuan nusantara egg pudding half gula,fore,positive
02/2024,point coffee coffee tomoro fore caramel praline macchiato added almond milk haus lupa esteh indonesia passion fruit with lemonade tea udah gada,fore,positive
02/2024,tomoro ice americano point coffee semuaaa fore,fore,positive
02/2024,point coffee matcha frappe half gula add on caramel sauce tomoro jarang tomoro kayaknya aren latte deh fore udah iya butter scotch sea saltnya haus taroooo cheese nya woy es kakak perempuan indonesia chizu taro wkwkwk,fore,positive
02/2024,point coffee coffee cookies cream tomoro matcha latte fore haus matcha esteh indonesia,fore,positive
02/2024,point coffee coffee caramel macchiato tomoro tomoro oat latte manuka oat latte matcha oat latte strawberry americano kesini wkwk fore haus es kakak perempuan indonesia chizu series gula lemon tea,fore,positive
02/2024,point coffee coffee avocadofee frape kopi pandan tomoro beli fore buttercream tiramisu latte butterscotch sea salt haus as always thai tea es kakak perempuan indonesia silky cream rich choco dupe nya chatime choco hazelnut nya,fore,positive
02/2024,point coffee coffee cookies cream palm suggar latte tomoro fore butterschotch sea salt haus es kakak perempuan cookies cream es kakak perempuan nusantara,fore,positive
02/2024,point coffee coffee suka kopi saku ditambah esbatu kopinya enakkk murcee tomoro kopi aren menurutku agak kemanisan informasi baristanya kemanisan pesen latte fore butterscotch sea salt rekomen forenya,fore,positive
