Date,Text,Text Normalization,Label_Bert,Encoded_Label
04/2024,"versi aku tuku,fore,point sama kulo",versi tukuforepoint kulo,positive,2
05/2024,"fore, tuku, point. untuk gue yg suka mabok kopi, kopi mereka sangat ok di lambung gw",fore tuku point coffee suka mabok kopi kopi ok lambung,positive,2
04/2024,yaallah pen coba fore :(,yaallah pengen coba fore,negative,0
04/2024,Enakan matcha fore,enakan matcha fore,negative,0
05/2024,"Sama nder hahah tp aku pke stevia , kadang beli literannya fore jg sih mnt less sugar, tapi paling sebulan sekali",hahah pke stevia kadang beli literannya fore sih gula sebulan,positive,2
04/2024,"Pada bilang tuku, tp kalo ga terjangkau banyak kota jadinya buat apa. Alias gueee blm pernah cobaa. Haha gpp sih, sejauh ini fore juaranya.",bilang tuku terjangkau kota alias gueee cobaa tertawa apa-apa sih fore juaranya,positive,2
06/2024,"btullll, pake apk fore nya dpt disc 50% btw lebih hematt",btullll pakai apk fore nya diskon 50 ngomong-ngomong hematt,positive,2
06/2024,"Point, tuku sama fore. Ku minum tomorro sama flash langsung sakit tenggorokan",point coffee tuku fore ku minum tomorro flash sakit tenggorokan,negative,0
06/2024,one good thing abt fore adalah gelasnya GEDE dan CANTIK,one good thing abt fore gelasnya gede cantik,positive,2
04/2024,"fore, arabica, janji jiwa, pesenkopi (malang), nakoa (malang), tomoro. pasti pesen caffe late",fore arabica janji jiwa pesenkopi malang nakoa malang tomoro pesen caffe late,positive,2
01/2024,jadi pengen fore,pengen fore,negative,0
12/2024,"KSK Famima, KST Tuku, Fore, Point Coffee, Stuja, Uncle Jo, goodday freeze, ABC Susu",ksk famima kst tuku fore point coffee coffee stuja uncle jo goodday freeze abc susu,positive,2
04/2024,"Selama ini lum pernah nyobain matchanya fore, akan mencobaaa",nyobain matchanya fore mencobaaa,positive,2
01/2024,"fore, point pernah coba kuat sih.. vanilla latte point strong sih",fore point coffee coba kuat sih vanilla latte point coffee strong sih,positive,2
02/2024,"Point coffee: signature chocolate + espresso (PLS INI ENAK BANGET PAIT KOPI + COKLAT ) Tomoro: hojicha Fore: - Haus: yg ada kitkatnya (br pernah coba sekali dan ini enakkk, masuk ke recommended menu) Esteh: -",point coffee coffee signature chocolate espresso pls enak banget pait kopi coklat tomoro hojicha fore haus kitkatnya coba enakkk masuk recommended menu esteh,positive,2
03/2024,"Lebih strong tuku, fore b aja di aku padahal aku punya gerd",strong tuku fore b gerd,positive,2
05/2024,- Fore - Point - Janji Jiwa,fore point coffee janji jiwa,negative,0
05/2024,"Fore, janji jiwa, familymart (termasuk gasih???)",fore janji jiwa familymart gasih,neutral,1
06/2024,"SEMUA MENU FORE ENAKKKK KAKKKK, kalo ga terlalu suka kopi bisa pesen fore junior",menu fore enakkkk kakkkk suka kopi pesen fore junior,positive,2
03/2024,belom pernah nyoba fore,nyoba fore,neutral,1
04/2024,"Fami sama fore, kepo sama tuku tp d bali gda",fami fore urusan tuku bali gda,negative,0
01/2024,fore sama point coffee sihh,fore point coffee coffee sihh,positive,2
05/2024,fore belum coba tuku,fore coba tuku,negative,0
04/2024,"Kalo menurutku dari rasa % paling enak, TAPI ndak enak di harga . Yang paling aman dan pas harga dan kopinya di Point Coffee. Yang suka iced kopi rasa2, Fore ato Kopinako.",menurutku enak enak harga aman pas harga kopinya point coffee coffee suka iced kopi rasa2 fore kopinako,positive,2
03/2024,"pgn fore lg, tpi gada tmn ke fore @ionays1",fore gada tmn fore,neutral,1
02/2024,"-Point coffe: palm sugar latte -Tomoro baru sekali coba yg tomoro coffe kalo gak salah tapi kurang masuk rasanya di aku -Fore: Butterscoth sea salt latte, caramel machiato, cafe malt latte, hibiscus berry Yakult -Haus: choco lava milo -Es teh: es teh mango greentea",point coffee coffe palm gula latte tomoro coba tomoro coffe gak salah masuk fore butterscoth sea salt latte caramel machiato cafe malt latte hibiscus berry yakult haus choco lava milo es kakak perempuan es kakak perempuan mango greentea,positive,2
04/2024,"suka fore&kopi sanjungan&tuku, kopken janjiw fami jg enak kl tomoro trgntg menunya",suka forekopi sanjungantuku kopi kenangan janjiw fami enak tomoro tergantung menunya,positive,2
02/2024,- Point coffee : blm pernah - Tomoro : blm pernah - Fore : Caramel Praline Macchiato added Almond Milk - Haus : lupa - Es.Teh Indonesia : Passion Fruit with Lemonade Tea tp udh gada,point coffee coffee tomoro fore caramel praline macchiato added almond milk haus lupa esteh indonesia passion fruit with lemonade tea udah gada,positive,2
06/2024,"dulu bikin kopi sendiri, tapi sekarang kopi nya kena boikot, jadi kalo mau kopi paling beli fore atau point",bikin kopi kopi nya kena boikot kopi beli fore point coffee,positive,2
05/2024,1. Tuku 2. Fore 3. Flash,1 tuku 2 fore 3 flash,negative,0
04/2024,"Kopken tuh comfort bgt, klo fore enakk, aku dh nyobain tuku tp kt ku overcreamy",kopi kenangan tuh comfort banget fore enakk dh nyobain tuku ku overcreamy,positive,2
05/2024,udah pernah pake fore sih tp boleh sini mana kubantu isi,pakai fore sih kubantu isi,neutral,1
11/2024,"yang ini paling enak menurutku kalau mau buat sendiri. kalau beli mending feel matcha atau fore sih, yang lain big no soalnya menang manis doang",enak menurutku beli feel matcha fore sih big menang manis doang,positive,2
05/2024,"kopken, tuku, point, harga terjangkau juga, fore ok sih tp agak mehong",kopi kenangan tuku point coffee harga terjangkau fore ok sih agak mehong,positive,2
02/2024,"tomoro Big No sih bagi ane kureng, mending googling search ""Fore terdekat""",tomoro big sih ane kureng googling search fore terdekat,negative,0
06/2024,Btw yang mau jajan murah fore tomoro janjiw bisa cek twt or dm aku ya guys,ngomong-ngomong jajan murah fore tomoro janjiw cek twt or dm iya teman-teman,neutral,1
06/2024,"matcha latte fore add espresso jg wajib cobain, thanks me later",matcha latte fore add espresso wajib cobain terima kasih me later,positive,2
05/2024,"gua kemarin mau ke fore bm kga jadi, antri cok sumpek sendiri liatnya",fore bm kga antri cok sempit liatnya,negative,0
04/2024,"Belum nyoba fore,ada yg bisa direkomendasikan? Sejauh ini kopken,tuku sama point enak",nyoba foreada direkomendasikan kopkentuku point coffee enak,positive,2
01/2024,"Tuku, Point coffee, Fore",tuku point coffee coffee fore,positive,2
04/2024,"Tuku yg kopi tetangga, kopken yg kenangan mantan, fore yg americano triple peach/berry manuka",tuku kopi tetangga kopi kenangan kenangan fore americano triple peachberry manuka,positive,2
05/2024,tim gas fore di kotanya,tim gas fore kotanya,neutral,1
02/2024,"- Point coffee: beli matcha doang tp b aja - Tomoro: matchanya sepet enak - Fore: blom pernah - Haus: es coklat sama es krim milo enak - Es teh Indonesia: es teh lemon, cokolateh, teh susu",point coffee coffee beli matcha doang b tomoro matchanya sepet enak fore blom haus es coklat es krim milo enak es kakak perempuan indonesia es kakak perempuan lemon cokolateh kakak perempuan susu,positive,2
04/2024,FORE ENAKKKK BGTT SEJAUH INII,fore enakkkk bgtt inii,negative,0
06/2024,Fore emg semua makanannye zonk,fore memang makanannye bodoh,negative,0
04/2024,"Tuku kopken fore, sama lokalan bandung namanya makmur jaya",tuku kopi kenangan fore lokalan bandung namanya makmur jaya,positive,2
01/2024,"calf coffee enak nder, atau fore yang udah ada di mana-mana",calf coffee enak fore manamana,positive,2
01/2024,Kopi tuku tapi gak tau namanya pokoknya yg kopsus gula aren Kopi kenangan yang CEO secret Fore yg butterscot sea salt Point coffee yg palm sugar latte dan coklat frappe less sugar,kopi tuku gak namanya pokoknya kopsus gula aren kopi kenangan ceo secret fore butterscot sea salt point coffee coffee palm gula latte coklat frappe gula,positive,2
05/2024,"thankyouu kakkak love fore https://bit.ly/pernahbeliforegak… requestnya: pilih dom surabaya pernah beli di outlet lain isinya jgn 5 terus, jadi gantian antara 3-5",thankyouu kakkak love fore requestnya pilih dom surabaya beli outlet isinya 5 gantian 35,positive,2
04/2024,"kopi dr els juara satu si, abis itu baru tuku sama fore",kopi dr els juara si habis tuku fore,positive,2
05/2024,"Fore sih, kopken buat aku terlalu manis.",fore sih kopi kenangan manis,negative,0
12/2024,Sama fore enakan mana butterscotch nya?,fore enakan butterscotch nya,negative,0
06/2024,starbucks (harus member) tawan remboelan imperial kitchen nanny's pavillon bakmi gm excelso ichiban sushi boost sushi tei union (harus member) pancious fore (harus member) hollycow pan&co tambahin lagi deh kalau ada yang tau,starbucks member tawan remboelan imperial kitchen nannys pavillon bakmi gm excelso ichiban sushi boost sushi tei union member pancious fore member hollycow panco tambahin deh,positive,2
08/2024,fore sama dengan butterscotch butterscotch sama dengan fore,fore butterscotch butterscotch fore,neutral,1
05/2024,Tuku Fore Tanatap,tuku fore tanatap,positive,2
05/2024,Fore lebih enakk,fore enakk,positive,2
04/2024,"kopi kenangan, point, sm fore.",kopi kenangan point coffee fore,positive,2
05/2024,"Fore jelas lbh enak, dri dulu ga pnh suka sma kopi kenangan. Buat gw pecinta kopi, terlalu encer products dri kopi kenangan",fore lbh enak pnh suka kopi kenangan pecinta kopi encer products kopi kenangan,positive,2
04/2024,"tuku, kopken, point sm fore enak juga tapi msh kurang strong kopinya kalo ga add shot",tuku kopi kenangan point coffee fore enak strong kopinya add shot,positive,2
05/2024,1. Fore 2. Tuku 3. Kopi bawah tangga,1 fore 2 tuku 3 kopi tangga,positive,2
01/2024,tapi cokelat fore tuh emang seenak ituuuu sksksk. cokelat fore + less sugar tuh beuh..... terbaik,cokelat fore tuh seenak ituuuu sksksk cokelat fore gula tuh beuh terbaik,positive,2
04/2024,"kopi tuku, fore, kopken, point",kopi tuku fore kopi kenangan point coffee,positive,2
05/2024,"aku lg gila gila fore nder, entah itu butterscotch sea salt atau buttercream aduh plis mau beli tiap hari tp nanti miskin",gila gila fore butterscotch sea salt buttercream aduh plis beli miskin,negative,0
03/2024,sedih bgt bacanya nanti kita rutin ke fore kalo dah kerja,sedih banget bacanya rutin fore deh kerja,negative,0
05/2024,wgwgw fore begini nih,wgwgw fore,neutral,1
04/2024,"kenangan, fore, point, tomoro",kenangan fore point coffee tomoro,neutral,1
04/2024,"Wkwk benerr, aku kalo ke fore pas ada voucher by apk ajaa, kalo engga eman” betulll",wkwk benerr fore pas voucher apk ajaa engga eman betulll,negative,0
05/2024,"Fore, awor (ini ada di jogja), point (vanilla latte)",fore awor jogja point coffee vanilla latte,positive,2
07/2024,Matcha point manis doang bjir tp enak tp manis doangg kopken belum cobaa. Matcha fore oke sih gaterlalu rumput bgt tp ada rumputnya tp ga rumput bgt paham gasi,matcha point coffee manis doang bjir enak manis doangg kopi kenangan cobaa matcha fore oke sih gaterlalu rumput banget rumputnya rumput banget paham gasi,positive,2
07/2024,fore matchanya enak gak? pk muatchamu kah? (ijonya ky muatchamu),fore matchanya enak gak penjahat kelamin muatchamu ijonya muatchamu,positive,2
05/2024,"Tuku, fore, stuja",tuku fore stuja,negative,0
04/2024,Emg fore tuh menurut gw mahal bgt tp worth karena rasanya seenak ituuu,memang fore tuh mahal banget worth seenak ituuu,positive,2
05/2024,"Tuku , animo , djournal coffe , bright coffee, coffe klasik, fore. Kalau yg murce famimart sama kopi saku / baper point",tuku animo djournal coffe bright coffee coffe klasik fore murce famimart kopi saku baper point coffee,positive,2
06/2024,Fore yang 1 liter berapaan sih,fore 1 liter berapaan sih,negative,0
05/2024,"Point, fore, kopken Emang karena dekat rumah aja sih",point coffee fore kopi kenangan rumah sih,positive,2
06/2024,Enaaak coba butterscotch sea salt sama buttercream tiramisu deh. Kalo download app fore pake referral bisa diskon 50%,enaaak coba butterscotch sea salt buttercream tiramisu deh download app fore pakai referral diskon 50,positive,2
06/2024,next ke fore mau cobain ini tambahin seasalt cream kali ya,fore cobain tambahin seasalt cream iya,neutral,1
05/2024,"Tuku, fore, bakeaholic, calf, kopken lebih 2",tuku fore bakeaholic calf kopi kenangan 2,positive,2
04/2024,fore - Pandan Latte yg large tapi rasa kopinya menurut outletnya. beda outlet beda rasa,fore pandan latte large kopinya outletnya beda outlet beda,positive,2
04/2024,"nangis pernah mnta beliin fore 1 lter dibwa perjalanan 4 jam, pas diminum basi pdhal baru bgttt, itu salah dimana nya ya pdhal rapet dan dingin",menangis mnta belikan fore 1 lter dibwa perjalanan 4 jam pas diminum basi pdhal bgttt salah nya iya pdhal rapet dingin,negative,0
01/2024,Aaahhh yg di sebelah selatannya ya? Bbrp kali mau kesana tp pas sampai sana beloknya ke fore lagi fore lagi,aaahhh sebelah selatannya iya bbrp kesana pas beloknya fore fore,negative,0
04/2024,Fore! Dengan senang hati kalo disuruh ngabisin tiap hari 3 cup mauuu,fore senang hati disuruh ngabisin 3 cup mauuu,positive,2
05/2024,Aku sebagai konsumen regulernya Fore harus mengisi ini. Monggo DM senderrr,konsumen regulernya fore mengisi monggo dm senderrr,neutral,1
04/2024,"Bener enak bgt fore, tpi klo beli sebulan hampir tiap minggu kerasa wak wkwkwkw",benar enak banget fore beli sebulan hampir kerasa wak wkwkwkw,positive,2
08/2024,"Plissss di jajaran fore signature enakki bgttt. Butterscotch, buttercream caramel, pralline, pandan latte, aren latte aku udu coba ituuu dan enakkk semuaa.",plissss jajaran fore signature enakki bgttt butterscotch buttercream caramel pralline pandan latte aren latte udu coba ituuu enakkk semuaa,positive,2
05/2024,"Kak, Tuku 1L botol gede ini, kalau di kulkas cuman tahan 2-3 hari doank kan ya? Sama kaya fore 1L. Kamu beli 2botol gede gini apa sanggup ngabisinnya?",kak tuku 1l botol gede kulkas cuman tahan 23 doank kan iya kaya fore 1l beli 2botol gede gini sanggup ngabisinnya,negative,0
05/2024,fore sihh,fore sihh,negative,0
07/2024,Ayo nderrr ketemu di fore kelapa dua mau gaaaa,ayo nderrr ketemu fore kelapa gaaaa,positive,2
04/2024,"Tuku dan fore sih, favorite banget",tuku fore sih favorite banget,positive,2
05/2024,"karena cuma pernah cobain fore & calf. kalau mau strongg tapi creamy tuh calf ( buat penderita aslam, not friendly karena minum dikit aja udah bikin muntah)",cobain fore calf strongg creamy tuh calf penderita asam lambung not friendly minum dikit bikin muntah,positive,2
05/2024,"1. tuku 2. fore 3. (toko kopi jaya) di malang. Tp karna stay ga di malang, jadi nomer 3 nya blm nemu",1 tuku 2 fore 3 toko kopi jaya malang stay malang nomer 3 nya nemu,positive,2
05/2024,"samaaa!! tuku sih paling utama kl gaada tuku ya fore kl ga mereka berdua ya tokjaw selain itu apayaa, itu jaa top 3 aku",samaaa tuku sih utama uang tuku iya fore berdua iya tokjaw apayaa jaa top 3,positive,2
04/2024,"Fore, kopken, janjiw. Sisanya belum nyoba",fore kopi kenangan janjiw sisanya nyoba,negative,0
05/2024,Ka ini harus Fore Surabaya?,kakak fore surabaya,negative,0
03/2024,"Fore itu kopi ter-light dibanding franchise kopi2 lainnya, apalagi kalo beli yg varian manis (kek difoto) malah dominan manisnya drpd paitnya, dan dia paitnya bukan yg asem gitu loh, kalo mau berasa kopinya biasanya harus pesen less sugar+1 shot espresso",fore kopi terlight dibanding franchise kopi2 beli varian manis difoto dominan manisnya paitnya paitnya asam loh berasa kopinya pesen sugar1 shot espresso,positive,2
05/2024,"konsonan langit yang akan jadi saksi cintaku kepadamu, terlebih untuk fore",konsonan langit saksi cintaku kepadamu fore,positive,2
05/2024,"Kulo, Fore, Tomoro, kalau di Malang ada Kopi Jaya, di Ponorogo bisa cobain Hataria.",kulo fore tomoro malang kopi jaya ponorogo cobain hataria,positive,2
04/2024,tuku &amp; fore,tuku amp fore,neutral,1
04/2024,kalo berdasarkan yang di pic si aku pilih fore sama tuku,pic si pilih fore tuku,neutral,1
04/2024,Top 3 aja cukup gaiss. 1. % Arabica 2. Fore 3. Tuku,top 3 gaiss 1 arabica 2 fore 3 tuku,positive,2
06/2024,tajir amat mahasiswa skg minum ya fore..,kaya mahasiswa skg minum iya fore,negative,0
04/2024,1. Tuku 2. Arabica 3. Flash 4. Kopken 5. Fore 6. Tomoro 7. FM 8. Calf 9. Arah kopi,1 tuku 2 arabica 3 flash 4 kopi kenangan 5 fore 6 tomoro 7 fm 8 calf 9 arah kopi,positive,2
01/2024,"fore, tomoro, kopi kenangan",fore tomoro kopi kenangan,positive,2
03/2024,fore gd yg strong,fore gd strong,neutral,1
06/2024,enakan mana ya ama fore? pgn beli masih mikir2,enakan iya fore beli mikir2,negative,0
04/2024,"Famicafe, point, tuku, fore, tomorro. Baru nyobain itu2 ajaa hehee",famicafe point coffee tuku fore tomorro nyobain itu2 ajaa hehee,positive,2
05/2024,jaya dan fore udh gada top 3,jaya fore udah gada top 3,neutral,1
02/2024,"- Point cofee: cookies and cream, caramel frappe, matcha frappe - Tomor: belum nyoba - Fore: belum nyoba - Haus: mango yakult(?) - Es.Teh indo: belum nyoba",point coffee cofee cookies and cream caramel frappe matcha frappe tomor nyoba fore nyoba haus mango yakult esteh indo nyoba,positive,2
04/2024,"Tuku Fore Point Famima Kenangan Janjiw Tomoro gaenak, gaada rasa kopinya. Sisanya gapernah nyoba.",tuku fore point coffee famima kenangan janjiw tomoro gaenak uang kopinya sisanya gapernah nyoba,negative,0
04/2024,"Lebih enak matchanya kopken, klo fore terlalu creamy menurutkuu hampir gada hint pahitnya sedikitpun kecuali half sugar.",enak matchanya kopi kenangan fore creamy menurutkuu hampir gada hint pahitnya sedikitpun half gula,positive,2
10/2024,Belinya pake aplikasi fore nya kak biar dapet diskon 50% untuk 3 kali transaksi,belinya pakai aplikasi fore nya kak biar diskon 50 3 transaksi,neutral,1
01/2024,Selalu pesen ini kalo ke fore dan minta less sugar,pesen fore gula,positive,2
04/2024,Point n fore Extra shot fore wow rush dlm sejam kemudian,point coffee fore extra shot fore wow rush dlm sejam,negative,0
04/2024,"Kalo di fore aku malah suka choco almond nya kalo ga salah kak, nah tapi kalo versi matcha aku punya andalan sendiri. Ada disalah satu cafe dikotaku makanya aku bilang matcha fore kureng:(",fore suka choco almond nya salah kak versi matcha andalan disalah cafe dikotaku bilang matcha fore kureng,positive,2
02/2024,"kakkk aku juga ga begitu suka kopi, aku lg mauu explore matcha2 gitu sih kak. menurutku utk matcha fore yg normal sugar tuh masih manis bgt. kalo di tomoro gimana kak? pahitnya jugaa kerasa bgt gak?",kakkk suka kopi mauu explore matcha2 sih kak menurutku matcha fore normal gula tuh manis banget tomoro kak pahitnya jugaa kerasa banget gak,negative,0
12/2024,fore/tuku,foretuku,negative,0
09/2024,"tuku, couvee, calf, fore, point",tuku couvee calf fore point coffee,neutral,1
11/2024,@nopxzyy rekomen menu fore andalan,rekomen menu fore andalan,positive,2
12/2024,Fore&Tuku,foretuku,positive,2
10/2024,"Matcha, milo, semua fore junior",matcha milo fore junior,neutral,1
04/2024,"Sejauh ini fore, krn gak bikin lambung tereak",fore gak bikin lambung tereak,positive,2
01/2024,Fore jauhh,fore jauhh,negative,0
11/2024,engga. aku pesen fore pertama kali pake birthday voucher,engga pesen fore pakai birthday voucher,neutral,1
02/2024,Klo sama fore sama yg bedain aku lbh pilih tomorow dari segi harga wkwkwk Bedain nya tomorow matcha nya lbh manis sedikit dari fore dan itu takaran pas untuk minuman buat org yg ga bener2 suka matcha (karna aslinya matcha emang pait) aku pribadi suka matcha yg cenderung manis,fore bedain lbh pilih tomorow segi harga wkwkwk bedain nya tomorow matcha nya lbh manis fore takaran pas minuman org bener2 suka matcha aslinya matcha pait pribadi suka matcha cenderung manis,positive,2
04/2024,"dulu awal nyoba fore, sempet ngumpulin. tapi lama-lama kebanyakan dan numpuk, akhirnya mutusin buat beli tumbler mereka",awal nyoba fore ngumpulin lamalama kebanyakan bertumpuk mutusin beli tumbler,positive,2
07/2024,"ta wan, pantiez pizza (jogja), pizza hut, ichiban sushi, sushi tei, fore",ta wan pantiez pizza jogja pizza hut ichiban sushi sushi tei fore,positive,2
05/2024,Untuk ke 259x ngasih rekomendasi kopi di Fore tuh Butterscotch sea salt latte dan Manuka berry Americano,259x rekomendasi kopi fore tuh butterscotch sea salt latte manuka berry americano,positive,2
02/2024,"point coffee : kopi saku tomoro: blm pernah fore (my fav) : buttercream latte, caramel praline macchiato haus : kitkat apa itu namanya es teh ind : chizu matcha, chizu redvel, lemonade berry (tapi skrg udah jarang krn ngerasa dia MANIS BGT)",point coffee coffee kopi saku tomoro fore my favorit buttercream latte caramel praline macchiato haus kitkat namanya es kakak perempuan ind chizu matcha chizu redvel lemonade berry jarang ngerasa manis banget,positive,2
05/2024,"kalo point mnurutku enakk tapi kalo kamu suka tipe yg harus berasa matcha nya, request less sugar ajaa. trus kalo tomoro yg matcha oat latte nya itu enak bgttt deh asliii, aku prefer tomoro sii dari fore soalnya masi kemanisan dikittt",point coffee mnurutku enakk suka tipe berasa matcha nya request gula ajaa tomoro matcha oat latte nya enak bgttt deh asliii prefer tomoro sii fore masi kemanisan dikittt,positive,2
04/2024,fore memang enaaaakkk,fore memang enaaaakkk,positive,2
04/2024,"Iya emang enak, yang kopken aku kurang suka, paling suka fore sbux sm indomaret point",iya enak kopi kenangan suka suka fore starbucks indomaret point coffee,positive,2
01/2024,"Bagiku enak tuku, fore (pandan latte)",bagiku enak tuku fore pandan latte,positive,2
02/2024,"Point Coffee: Palm Sugar Latte, Matcha-nya jg enak Tomoro: Matcha latte, Hojicha Fore:Butterscotch Sea Salt latte Haus: - Es Teh Indonesia: Es Teh Nusantara, Chizzu alpukat enyak",point coffee coffee palm gula latte matchanya enak tomoro matcha latte hojicha forebutterscotch sea salt latte haus es kakak perempuan indonesia es kakak perempuan nusantara chizzu alpukat enyak,positive,2
04/2024,beli fore kalo promo huahahahah,beli fore promo huahahahah,positive,2
04/2024,fav ku kalo ke fore kalo siang pas ngantuk triple peach americano less sweet atau yg irish latte tp dah ganti nama non kopi : almond choco,favorit ku fore siang pas ngantuk triple peach americano sweet irish latte deh ganti nama non kopi almond choco,positive,2
03/2024,menurutku fore tuhh hampir semua menu nya enaak dan harga nya masih tergolong muraah mana tempat nya juga bagus kan,menurutku fore tuhh hampir menu nya enaak harga nya tergolong muraah nya bagus kan,positive,2
05/2024,"Cobain dulu fore,, biar pernah dulu aja",cobain fore biar,neutral,1
08/2024,"Fore, buttercream latte Kozi, kosangsu foam charcoal Buih, es kopi buih",fore buttercream latte kozi kosangsu foam charcoal buih es kopi buih,positive,2
05/2024,"Blue doors, djournal, fore Tuku menurutku terlalu creamy tbh",blue doors djournal fore tuku menurutku creamy tbh,positive,2
05/2024,Duhh fore amaan banget,duhh fore amaan banget,positive,2
01/2024,seperti biasa pengabdi fore,pengabdi fore,neutral,1
04/2024,"Tuku, tomoro, fore, kopinako, point",tuku tomoro fore kopinako point coffee,neutral,1
01/2024,"Nescafe zero sugar yg ini. Fore (kopinya biar bukan americano gak tahu knp gak cocok di gw, bikin deg2an) KopKen (kopinya gak cocok di perut, boro2 ngantuk, sakit perut jd melek terus)",nescafe zero gula fore kopinya biar americano gak gak cocok bikin deg2an kopi kenangan kopinya gak cocok perut boro2 ngantuk sakit perut melek,negative,0
05/2024,"Tuku, XXI (maaf bgt soalnya emg kopi pandannya enak betul), dan Fore",tuku xxi maaf banget memang kopi pandannya enak fore,positive,2
05/2024,"Fore, tuku, famima.",fore tuku famima,neutral,1
04/2024,fore woi enak banget,fore woi enak banget,positive,2
04/2024,"point, janji jiwa, fore",point coffee janji jiwa fore,negative,0
02/2024,Ngga pokonya enakan fore fix,pokonya enakan fore fix,negative,0
04/2024,kl mau kopi strong : kopi kenangan & janji jiwa kl mau kopi mild : point coffe & fore tapiiii fav aku point coffee PSL & kopi kenangan Mantan low sugar,kopi strong kopi kenangan janji jiwa kopi mild point coffee coffe fore tapiiii favorit point coffee coffee psl kopi kenangan gula,positive,2
