Date,Text,Text Normalization,Sentimen
01/2024,"Fore, flash, kopken, tomoro, tuku (kqtanya enak bgt tp aku blm coba) ayokk nder masi banyak ko",fore flash kopi kenangan tomoro tuku kqtanya enak banget coba ayokk masi ko,positive
01/2024,fore sama kopi kenangan sih jagoan,fore kopi kenangan sih jagoan,positive
01/2024,"Kalo aku sih point, janji jiwa, belikopi, kopi kenangan. Kalo americano suka di janji jiwa sama point.",sih point coffee janji jiwa belikopi kopi kenangan americano suka janji jiwa point coffee,positive
01/2024,"Tuku, Arah, Fore, Janji Jiwa, sama Kopi Kenangan",tuku arah fore janji jiwa kopi kenangan,positive
01/2024,Kopi kenangan : otside kenangan mantan less sugar AWENAKKK,kopi kenangan otside kenangan gula awenakkk,neutral
01/2024,"Tuku, arah coffee, kopi kenangan, point coffee. Enak semua",tuku arah coffee kopi kenangan point coffee coffee enak,positive
01/2024,"banyak nder, ada point, fore, tuku, kopken, tomoro",point coffee fore tuku kopi kenangan tomoro,positive
01/2024,"Point coffee, tuku, kopi kenangan, fore",point coffee coffee tuku kopi kenangan fore,positive
01/2024,"""Kopi Kenangan"" , "" Kopi Tuku"" Good Day vanilla latte, Kapal Api",kopi kenangan kopi tuku good day vanilla latte kapal api,positive
01/2024,"fore, kopken, tuku, point coffee ini sih yg biasa gue minum",fore kopi kenangan tuku point coffee coffee sih minum,positive
01/2024,"fore, janjiw, kopken, point coffe. banyak nder coffe shop tuhhhh. kamu dom mana btw",fore janjiw kopi kenangan point coffee coffe coffe shop tuhhhh dom ngomong-ngomong,positive
01/2024,"banyak nder, yg sering kubeli ya apalagi sering promo janjiw, kopken, fore, lawson, point coffee kl akhir2 ini tomoro trs",kubeli promo janjiw kopi kenangan fore lawson point coffee coffee akhir2 tomoro,positive
01/2024,"Fore, kopken, dan banyak coffee shop kecil2 itu banyak yg enak krna biasanya owner-nya anak muda yg suka nongkrong",fore kopi kenangan coffee shop kecil2 enak krna ownernya anak muda suka nongkrong,positive
01/2024,"Ga pernah nyoba st4rb4k sih wkwk, karena selama ini ngopi enak2 aja cafe2 lokal kecil di lingkungan sekitar. Tapi kalo nyebut brand, FORE. Biasanya aku janjiw atau kopken tapi setelah melang-lang buana mencari kopi enak akhir2 ini FORE menarik bgt buat aku",nyoba st4rb4k sih wkwk ngopi enak2 cafe2 lokal kecil lingkungan nyebut brand fore janjiw kopi kenangan melanglang buana kopi enak akhir2 fore menarik banget,positive
01/2024,"- Kopken (krn aku gakuat sm kopinya kopken, biasanya ak pesen matchalatte dan ini enak bgt) - kopinya roti O (kopinya enak, ga bikin perut kembung, biasanya aku pesen kopi regal) - point coffee (blm pernah nyobain apapun selain matcha lattenya) - pesenkopi - kopstud 24",kopi kenangan gakuat kopinya kopi kenangan pesen matchalatte enak banget kopinya roti o kopinya enak bikin perut kembung pesen kopi regal point coffee coffee nyobain apapun matcha lattenya pesenkopi kopstud 24,positive
01/2024,"Point, tomoro, kopken enak juga",point coffee tomoro kopi kenangan enak,positive
01/2024,"Janji Jiwa, Kopi Kenangan",janji jiwa kopi kenangan,positive
01/2024,"Tuku, fore, tomoro, kopken,famima. Sejauh ini itu siih favorit w diluar sbux",tuku fore tomoro kopkenfamima siih favorit diluar starbucks,positive
01/2024,"Kopi kenangan, Fore",kopi kenangan fore,positive
01/2024,"Nescafe zero sugar yg ini. Fore (kopinya biar bukan americano gak tahu knp gak cocok di gw, bikin deg2an) KopKen (kopinya gak cocok di perut, boro2 ngantuk, sakit perut jd melek terus)",nescafe zero gula fore kopinya biar americano gak gak cocok bikin deg2an kopi kenangan kopinya gak cocok perut boro2 ngantuk sakit perut melek,negative
01/2024,"fore, tomoro, kopi kenangan",fore tomoro kopi kenangan,positive
01/2024,"Tomoro,fore,kopken,janjiw,point",tomoroforekopkenjanjiwpoint,neutral
01/2024,matcha kopken no sugar & matcha tomoro juga enak. enakan tomoro kalau saya sih cuma yaa emang lebih mehong dikit,matcha kopi kenangan gula matcha tomoro enak enakan tomoro sih yaa mehong dikit,positive
01/2024,"mau tanya dong, kalau matcha tomoro kan ga bisa no sugar yah? kalau dibanding kopken yang no sugar lebih manis manaaa?",matcha tomoro kan gula yah dibanding kopi kenangan gula manis manaaa,negative
01/2024,"imo tomoro matcha nya lebih pahit, menurutku juga tomoro gapake sugar kak, soalnya manisnya lebih ke oatside nya. tomoro matcha nya lebih kenceng dikit daripada kopken.",imo tomoro matcha nya pahit menurutku tomoro gapake gula kak manisnya oatside nya tomoro matcha nya kenceng dikit kopi kenangan,positive
01/2024,kopken lah tomoro gatau knp ga cocok pdhl uda nyoba 3 store beda bjil,kopi kenangan tomoro gatau cocok pdhl uda nyoba 3 store beda bjil,positive
01/2024,tomoro enak tpi kopken tetap dihati,tomoro enak kopi kenangan dihati,positive
01/2024,Tomoro sumpah kopken tuh kemanisan rasa matchanya kalah sama manisnya gitu,tomoro sumpah kopi kenangan tuh kemanisan matchanya kalah manisnya,positive
01/2024,Tomoro belom coba tapi kopken enak,tomoro coba kopi kenangan enak,positive
01/2024,"blm nyoba tomoro, tp kl ke kopken selalu nyobain matcha latte nya tp pake caramel, enak bgt sumpah",nyoba tomoro kopi kenangan nyobain matcha latte nya pakai caramel enak banget sumpah,positive
01/2024,kopken belom coba aaaa tapi tomoro ga tau ya gua coba di 2 store yang beda rasanyaa kureng matcha gitu,kopi kenangan coba aaaa tomoro coba 2 store beda rasanyaa kureng matcha,positive
01/2024,"Di dom aku belum ada tomoro, jadi aku tim kopken nder. Rasanya menurutku masih agak"" mirip sama yang di sbx",dom tomoro tim kopi kenangan menurutku agak mirip sbx,positive
01/2024,"kopken blm nyoba, tomoro enak krn ngga manissss",kopi kenangan nyoba tomoro enak manissss,positive
01/2024,Kalau suka manis kopken Kalau suka yg beneran rasa matcha tomoro,suka manis kopi kenangan suka beneran matcha tomoro,positive
01/2024,jujur matcha tomoro lebih berasa paitnya dibanding kopken soalnya matcha kopken udh less sugar masih kerasa manis bgt jd ak tim tomoro,jujur matcha tomoro berasa paitnya dibanding kopi kenangan matcha kopi kenangan udah gula kerasa manis banget tim tomoro,positive
01/2024,"Kopi kenangan no sugar peenah beli matcha yg no sugar, normal sugar, less sugar. Yg keminum cuma yg normal sugar. Less sugar lumayan lah. Yg no sugar ga ketelennnn",kopi kenangan gula peenah beli matcha gula normal gula gula keminum normal gula gula lumayan gula ketelennnn,positive
01/2024,"Kopken enak, tomoro belum pernah coba",kopi kenangan enak tomoro coba,positive
01/2024,kalo light dpt hint pait lebih ke tomoro tp kalo thick & pait manisnya ada itu di kopken yaa enak dua2nya sih kalo pgn dpt porsi besar dan harganya murah kopken aj,terang hint pait tomoro thick pait manisnya kopi kenangan yaa enak dua2nya sih porsi harganya murah kopi kenangan,positive
01/2024,"Blm nyoba yg tomoro jadi sementara tim matcha kopken, rasa matchanya dominan banget dan enak poll .",nyoba tomoro tim matcha kopi kenangan matchanya dominan banget enak poll,positive
01/2024,"aku tim kopken, tp tomoro enak jg sih",tim kopi kenangan tomoro enak sih,positive
01/2024,Blm nyoba yg tomoro tpi yg kopken enak bgtttt,nyoba tomoro kopi kenangan enak bgtttt,positive
01/2024,Kayaknya ga pernah coba yg kopken. Tp tomoro enak,kayaknya coba kopi kenangan tomoro enak,positive
01/2024,"Depan lobi rawat jalan, di sisi kirinya, sebelahnya jg ada kopi kenangan",lobi rawat jalan sisi kirinya sebelahnya kopi kenangan,positive
01/2024,"enak kopken sih, tadi baru nyoba tomoro kok kureng ya matchanya, padahal udah no sugar",enak kopi kenangan sih nyoba tomoro kureng matchanya gula,positive
01/2024,lebih dikit g sih?? tomoro 28k ga sih?? trus yg matcha kopken brp??,dikit sih tomoro 28k sih matcha kopi kenangan,negative
01/2024,kopi kenangan mantan nder. NO DEBAT,kopi kenangan debat,negative
01/2024,kopi kenangan mantan,kopi kenangan,positive
01/2024,"kopi kenangan mantan pake juwara beans, matchanya pake oat milk",kopi kenangan pakai juwara beans matchanya pakai oat milk,positive
01/2024,"americano, cloud caramel macchiato, kopi susu black aren, kopi kenangan mantan",americano cloud caramel macchiato kopi susu black aren kopi kenangan,positive
01/2024,kopi kenangan MANTAN all the timeeeee,kopi kenangan all timeeeee,positive
01/2024,"Kalian harus tau dulu ada nama menunya light kopi kenangan mantan, itu enak bgt anjirrrrrr tapi sayang bgt udah disconti huhu sedih sekarang mesen kkm biasa aja",nama menunya terang kopi kenangan enak banget anjirrrrrr sayang banget disconti huhu sedih mesen kkm,negative
01/2024,Kopi kenangan mantan less sweet,kopi kenangan sweet,positive
01/2024,matcha nya sama kopi kenangan mantan,matcha nya kopi kenangan,positive
01/2024,"Kopi kenangan, large, less ice, juwara beans udah paling bener",kopi kenangan large ice juwara beans benar,positive
01/2024,kopi kenangan mantan less sugar,kopi kenangan gula,positive
01/2024,"selalu beli americano large no sugar kenangan blend, karna kopi kopken ga seasen janjiw",beli americano large gula kenangan blend kopi kopi kenangan seasen janjiw,positive
01/2024,kopi kenangan mantannya gada lawannnn,kopi kenangan mantannya gada lawannnn,negative
01/2024,kopi kenangan mantan less sugar. jaman masih kerja seminggu kayaknya 2-3x beli ini,kopi kenangan gula jaman kerja seminggu kayaknya 23x beli,positive
01/2024,Americano (no sugar) Kopi kenangan mantan (less sugar) Dua shot ices shaken (less sugar) Selalu ini sih,americano gula kopi kenangan gula shot ices shaken gula sih,positive
01/2024,es kopi kenangan mantan less sugar,es kopi kenangan gula,negative
01/2024,"kopi kenangan mantan large less ice, fresh milk, less sugar paling topp",kopi kenangan large ice fresh milk gula topp,positive
01/2024,Kopi kenangan mantan sama thai green tea (walaupun under tapi entah kenapa suka),kopi kenangan thai green tea under suka,positive
01/2024,Kopi kenangan mantan udh the best sii buat ku,kopi kenangan udah best sii ku,positive
01/2024,kopi kenangan CEO,kopi kenangan ceo,positive
01/2024,Kopi kenangan mantan. Rasanya pahit manis kek idup wkwkwk,kopi kenangan pahit manis idup wkwkwk,negative
01/2024,"menu coffee aku cuma cocok latte, non coffee sering pesen matcha oatside latte, milo juga suka cuma kadang kemanisan buat aku. kopi kenangan mantan di aku ga cocok, mau normal/less sweet emg aku gadoyan kopi pake syrup/gula aren",menu coffee cocok latte non coffee pesen matcha oatside latte milo suka kadang kemanisan kopi kenangan cocok normalless sweet memang gadoyan kopi pakai syrupgula aren,positive
01/2024,kopi kenangan mantan pastinya,kopi kenangan pastinya,positive
01/2024,"Kenangan Mantan udah paling cocok buat lidah aing, nih hebatnya kopken bikin ukuran cup gedean buanget. . .mgkn menurut dia kita negak kopi sehari 3x jd biar lebih praktis ye. .kembung2 dah",kenangan cocok lidah hebatnya kopi kenangan bikin ukuran cup gedean buanget mungkin negak kopi sehari 3x biar praktis ye kembung2 deh,positive
01/2024,"selalu beli kopi kenangan mantan atau americano, ga pernah nyoba yang lain",beli kopi kenangan americano nyoba,negative
01/2024,matcha latte no sugar sama kopi kenangan mantan,matcha latte gula kopi kenangan,positive
01/2024,Kopi kenangan mantan sama milodinosaurus,kopi kenangan milodinosaurus,negative
01/2024,Kopi Kenangan mantan dan juga matcha latte pake oat milk,kopi kenangan matcha latte pakai oat milk,positive
01/2024,"kenangan mantan! udh gatau brp kali order saking enaknya, coba kopi lain tetep kopken kenangan mantan yg paling enakkk!",kenangan udah gatau order saking enaknya coba kopi tetep kopi kenangan kenangan enakkk,positive
01/2024,Oatside kopi kenangan mantan,oatside kopi kenangan,positive
01/2024,Matcha Latte Kopi Kenangan Less Sugar enak juga.,matcha latte kopi kenangan gula enak,positive
01/2024,Kopi tuku tapi gak tau namanya pokoknya yg kopsus gula aren Kopi kenangan yang CEO secret Fore yg butterscot sea salt Point coffee yg palm sugar latte dan coklat frappe less sugar,kopi tuku gak namanya pokoknya kopsus gula aren kopi kenangan ceo secret fore butterscot sea salt point coffee coffee palm gula latte coklat frappe gula,positive
01/2024,Burger blenger setelah sekian lamaaaaa kepengen dan kopi kenangan mantan,burger blenger lamaaaaa kopi kenangan,positive
01/2024,"Mamaku tipe yg kek gini. And so opposite with my dad. Jd aku selalu cari tengahnya aja, beli martabak ato roti kek breadtalk gitu aja. Pasti dimakan krn gabisa bikin sendiri wkwkwkwkwk kalo bokap mah bisa ditambah sm beliin kopi fore or kopken. Aman dahh hehe",mamaku tipe gini and so opposite with my dad cari tengahnya beli martabak roti breadtalk dimakan gabisa bikin wkwkwkwkwk ayah mah ditambah belikan kopi fore or kopi kenangan aman dahh he,positive
02/2024,"pagi dagang buah,gorengan,sayur lauk mateng,burjo.buryam.sariroti,roti rumahan Siang:bakso,tahu bulat,klepon Sore ampe mlm:lumpia, Klo mau jajanan yg laen tinggal nyebrang aja(gacoan,pijahat,yosinoya,kopken,fore,hokben,janjiw,kaepsi,mixue,angkringan)",pagi dagang buahgorengansayur lauk matengburjoburyamsarirotiroti rumahan siangbaksotahu bulatklepon sore ampe mlmlumpia jajanan laen nyebrang ajagacoanpijahatyosinoyakopkenforehokbenjanjiwkaepsimixueangkringan,positive
02/2024,Coklat Batagor Kopi Kopi Kenangan (Janjiw rasa air) Cilok Brownis Mie goreng Sate Ayam Ice cream Semangka Seblak Salad sayur Kangkung,coklat batagor kopi kopi kenangan janjiw air cilok brownis mie goreng sate ayam ice cream semangka seblak salad sayur kangkung,positive
02/2024,Keju Batagor Kopi Kopi kenangan Cimol Brownis Kwetiaw Sate ayam Es krim Melon Seblak Salad buah -,keju batagor kopi kopi kenangan cimol brownis kwetiaw sate ayam es krim melon seblak salad buah,positive
02/2024,"coklat, siomay, teh, gak janjiw gak kopken tapi fore (mff), cilok, brownis, mie goreng, sate ayam, ice cream, semangka, baso aci, salad buah, kangkung.",coklat siomay kakak perempuan gak janjiw gak kopi kenangan fore mff cilok brownis mie goreng sate ayam ice cream semangka baso aci salad buah kangkung,positive
02/2024,keju ga suka dua2 kopi kopken? soalnya jarang minum janjiw tp lebih suka fore cilok brownies kwetiaw sate ayam gelato semangka baso aci salad sayur both,keju suka dua2 kopi kopi kenangan jarang minum janjiw suka fore cilok brownies kwetiaw sate ayam gelato semangka baso aci salad sayur both,positive
02/2024,Coklat keju Siomay Kopi teh Kopi kenangan Cimol Brownis Kwetiauw goreng Sate ayam Gelato Semangka Seblak Salad sayur Kangkung,coklat keju siomay kopi kakak perempuan kopi kenangan cimol brownis kwetiauw goreng sate ayam gelato semangka seblak salad sayur kangkung,positive
02/2024,Keju Siomay Kopi (walau gabisa minum karena asam lambung :3) Kopi kenangan Cilok Brownies Kwetiau goreng Sate kambing Gelato Semangka Seblak Salad buah Bayam,keju siomay kopi gabisa minum asam lambung 3 kopi kenangan cilok brownies kwetiau goreng sate kambing gelato semangka seblak salad buah bayam,positive
02/2024,Keju Siomay Teh Kopi kenangan Cilok Brownies Mie goreng Sate ayam Ice cream dan Gelato Semangka Seblak Salad buah dan Salad sayur Kangkung,keju siomay kakak perempuan kopi kenangan cilok brownies mie goreng sate ayam ice cream gelato semangka seblak salad buah salad sayur kangkung,positive
02/2024,"Ak klo ke tmpt kopi2 kekinian gini, pasti nyoba yg basic kyk kopi susu atau kopi gula aren. Dan utk kopi aren susu, jauh lbh enak kopken pny, yg tomoro ni rasa kopinya tipis bgt.",kopi2 kekinian gini nyoba basic kopi susu kopi gula aren kopi aren susu lbh enak kopi kenangan pny tomoro kopinya tipis banget,positive
02/2024,enakan fore si kalo matcha. fore-sbux-kopken-point-tomoro-janjiw,enakan fore si matcha foresbuxkopkenpointtomorojanjiw,neutral
02/2024,: bukannya beli whisaks malah beli kopi kenangan,bukannya beli whisaks beli kopi kenangan,neutral
02/2024,"Aku tadi minum ini, dibeliin bos Langsung gerdku kambuh. Kafeinnya tinggi banget coy. Karena aku biasanya minum kopi kenangan, ga sampek gerd.",minum dibeliin bos gerdku kambuh kafeinnya banget coy minum kopi kenangan sampek gerd,positive
02/2024,"enak kok menurutku ga se overrated itu karena harganya murah dan udh inc ppn,aplg kalo jadi member tuh tiap minggu diskon 30% ini best top 3 kopi lokal 1.excelso 2.kopken 3.tomoro",enak menurutku overrated harganya murah udah inc ppnaplg member tuh diskon 30 best top 3 kopi lokal 1excelso 2kopken 3tomoro,positive
02/2024,justru yg kopken manis doang dari sekian brand emang yg paling enak matchanya tomoro tapi yg oat,kopi kenangan manis doang brand enak matchanya tomoro oat,positive
02/2024,"Baru aja semalem makan, b aja sih..huhu Harganya 40, tp blm tax service jd 49k. Aku mkn di citos & udh ga antri. Mending yg di kopi kenangan cm 19rb",semalem makan b sihhuhu harganya 40 tax service 49k mkn citos udah antri kopi kenangan cm 19rb,positive
02/2024,"mending fore, atau kopken yg outside matcha latte kak",fore kopi kenangan outside matcha latte kak,negative
02/2024,"sbrnya sama aja, kayak ada menu yg lebih enak di kopken, ada menu yg lebih enak di tomoro.",sbrnya kayak menu enak kopi kenangan menu enak tomoro,positive
02/2024,"ril karena aku beli matcha kopken aku taro kulkas, besoknya aku beli matcha tomoro jd bandingin langsung",ril beli matcha kopi kenangan taro kulkas besoknya beli matcha tomoro bandingin,neutral
02/2024,"wkwkwk iya soalnya orang yg gasuka matcha kan bilangnya kaya rasa rumput, jadi yaudah aku bilangnya jg rumput sekalian kak mungkin kebanyakan bilang enakan tomoro krna rasa matchanya ga terlalu pekat ya tp rekomen dari aku kalo kopken sih yg oatside matcha latte no sugar",wkwkwk iya gasuka matcha kan bilangnya kaya rumput bilangnya rumput kak mungkin kebanyakan bilang enakan tomoro krna matchanya pekat rekomen kopi kenangan sih oatside matcha latte gula,positive
02/2024,Di kopi kenangan kak tapi sebelum nya cek dulu aplikasi nya -s,kopi kenangan kak nya cek aplikasi nya s,neutral
02/2024,Lebih merindukan soft cookies kenangan manisnya kopi kenangan,merindukan soft cookies kenangan manisnya kopi kenangan,positive
02/2024,Kopi kenangan cepetan buka cabang di daerah gw,kopi kenangan cepetan buka cabang daerah,positive
02/2024,Sama KopKen masih lebih enak Tomoro kak??,kopi kenangan enak tomoro kak,positive
02/2024,"Enak kak hehe gimana ya Matchanya berasa, kalo dibanding sama matcha espresso punyanya kopken aku lebih milih yg tomoro ini",enak kak he matchanya berasa dibanding matcha espresso punyanya kopi kenangan milih tomoro,positive
02/2024,"enakk sama kopken nderr enak juga, 2 itu juaraku",enakk kopi kenangan nderr enak 2 juaraku,positive
02/2024,"aku pribadi yg tomoro kakk, matcha di kopken menerutku agak sepet sementara di tomoro lebih lembut + kerasa",pribadi tomoro kakk matcha kopi kenangan menerutku agak sepet tomoro lembut kerasa,positive
02/2024,"enak emang, tapi lebih enak kopi kenangan sih, lebih pekat matchanya",enak enak kopi kenangan sih pekat matchanya,positive
02/2024,"enakan tomoro imo, kopken terlalu manis. tp klo matcha tomoro sih yang oat yaaa yg pernah kucoba",enakan tomoro imo kopi kenangan manis matcha tomoro sih oat yaaa kucoba,positive
02/2024,"kopken.. di outlet tomoro yg biasa aku beli tuh suka kemanisan gitu, gatau yang lainnya ya. jadi kaya harus nunggu esnya leleh baru lumayan rasanya",kopi kenangan outlet tomoro beli tuh suka kemanisan gatau kaya nunggu esnya leleh lumayan,positive
02/2024,"enak dua duanya, tergantung lg mau kopken apa tomoro",enak duanya tergantung kopi kenangan tomoro,positive
02/2024,"FAVORITE BANGETT TOLONGG!!! as matcha latte lovers, top tier aku adalah tomoro matcha latte (bukan yg oat). followed by kopi kenangan and feel matcha",favorite bangett tolongg as matcha latte lovers top tier tomoro matcha latte oat followed kopi kenangan and feel matcha,positive
02/2024,"Kopken sih kalo aku, kalo tomoro kemanisan di aku :(",kopi kenangan sih tomoro kemanisan,negative
02/2024,"enak tomoro plss, menurutku kopken bener2 berasa rumput",enak tomoro plss menurutku kopi kenangan bener2 berasa rumput,positive
02/2024,"tomoro ka, kopken di aku kemanisan pdhl udh less sugar kl tomoro pait manis",tomoro kakak kopi kenangan kemanisan pdhl udah gula tomoro pait manis,positive
02/2024,"Kopken tp sweetnya 25% aja. Matcha kopken lebih berasa matcha yg ga grassy, klu tomoro matchanya lebih grassy gt",kopi kenangan sweetnya 25 matcha kopi kenangan berasa matcha grassy klu tomoro matchanya grassy,positive
02/2024,Kopi Kenangan matcha-nya enak?,kopi kenangan matchanya enak,positive
02/2024,Tomoro enak dr pd kopken,tomoro enak dr kopi kenangan,positive
02/2024,kopi kenangan yg tiap pagi gw beli,kopi kenangan pagi beli,positive
02/2024,setuju udh paling bener matcha nya kopken. yg mirip matcha kopken tu tomoro siii itu jg enaakk,setuju udah benar matcha nya kopi kenangan mirip matcha kopi kenangan tu tomoro siii enaakk,positive
02/2024,"jujur matcha chatime gak terlalu dominan matchanya malahan dominan ke susu. Kalau mau dominan matcha beli matchanya kopi kenangan, harganya gak beda jauh dari chatime untuk ukuran regulernya.",jujur matcha chatime gak dominan matchanya malahan dominan susu dominan matcha beli matchanya kopi kenangan harganya gak beda chatime ukuran regulernya,positive
02/2024,"Kopi kenangan yg oatside matcha lumayan kentel matchanya berasa, tapi bagi aku masih kurang pait Lebih pait soft ice creamnya Kalo kamu suka yg tipe matcha pait, coba greentea frappe jco",kopi kenangan oatside matcha lumayan kentel matchanya berasa pait pait soft ice creamnya suka tipe matcha pait coba greentea frappe jco,positive
02/2024,Coffe: kopi kenangan mantan Non coffe nya: matcha latte Less sugar semuaaaah,coffe kopi kenangan non coffe nya matcha latte gula semuaaaah,positive
02/2024,kopi kenangan mantan yg less sugar,kopi kenangan gula,negative
03/2024,lebih prefer matcha punyanya kopi kenangan sih lebih kentel aja gitu,prefer matcha punyanya kopi kenangan sih kentel,positive
03/2024,kopken sm point sih yg terbaik! kalo matchanya fore manis bgt meskipun dia less sugar,kopi kenangan point coffee sih terbaik matchanya fore manis banget meskipun gula,positive
03/2024,KOPI KENANGAN MANTAN LESS SUGAR,kopi kenangan gula,negative
