Date,Text,Text Normalization,Label_Bert
01/2024,Cromboloni dan mille crepe rasanya biasa aja menurutku. Terus kopi fore butterscotch sea salt latte.,cromboloni mille crepe menurutku kopi fore butterscotch sea salt latte,negative
01/2024,"Fore yg ini enak. Matcha blend. Klo gasuka matcha, strawberry blendnya jg enak https://x.com/vineyards__/status/1715178100101968135?t=RHwt83ztypJmH0ELEZs0Ug&s=19…",fore enak matcha blend gasuka matcha strawberry blendnya enak,positive
01/2024,saranin fore yg non coffee dong,saranin fore non coffee,negative
01/2024,Duuh jadi pengen fore lagi,duuh pengen fore,negative
01/2024,Sedih tempatku gada fore,sedih tempatku gada fore,negative
01/2024,Aku gak suka fore. Gelasnya terlalu kecil,gak suka fore gelasnya kecil,negative
01/2024,Laah iyaa beneerr wkwk emang favorit fore nih,laah iyaa beneerr wkwk favorit fore,positive
01/2024,@ForeCoffeeID bikin di Tegal atau Pekalongan dong masa harus ke semarang dulu kalo lg mau fore T______________T jauh bgt PLEASE,bikin tegal pekalongan semarang fore tt banget please,negative
01/2024,jadi pengen fore,pengen fore,negative
01/2024,Matcha di fore juga enaaaak kata aku,matcha fore enaaaak,positive
01/2024,IYAKAN NDERRR kenapa ya manisnya masih sama diawal minum lagi huft love fore apalagi kalau diskonan,iyakan nderrr iya manisnya diawal minum mengeluh love fore diskonan,positive
01/2024,Iya ih fore ni esbatu nya jg kya beda cair nya lama gtu,iya ih fore esbatu nya kya beda cair nya gtu,neutral
01/2024,"Iya ehh, knp ya?? Waktu sidang temenku ngasih fore, trs blm ku minum, malem bru kuminum masih enakkk",iya ehh iya sidang temenku fore ku minum malam kuminum enakkk,positive
01/2024,cup fore yg kecil emg lebih berasa ketimbang yg upsize,cup fore kecil memang berasa ketimbang upsize,positive
01/2024,tempatku jauh fore jir males,tempatku fore anjing males,negative
01/2024,"Ini adalah karena fore punya ""magic"" ternyata emg bener itu pelet nya, dulu bingung kenapa disebut magic, ya ternyata emg magic anjir. Baru ngerti skrg pas udh resign wkwkkwk. Tp jujur fore emg enak sih, R&D nya gak maen2, bangga bgt pernah jd bagian dari perjalanan fore",fore magic memang benar pelet nya bingung magic iya memang magic anjing mengerti pas udah resign wkwkkwk jujur fore memang enak sih rd nya gak maen2 bangga banget bagian perjalanan fore,positive
01/2024,YaAllah bner2 BM bgt pgn fore,yaallah bner2 bm banget fore,negative
01/2024,"Bener bangettt, seneng kalii minum fore",benar bangettt seneng kalii minum fore,positive
01/2024,fore tetep dihati sih,fore tetep dihati sih,positive
01/2024,fore emang enak bgtt,fore enak bgtt,positive
01/2024,Selalu pesen ini kalo ke fore dan minta less sugar,pesen fore gula,positive
01/2024,Apa termasuk kayak kopi2 di Fore rasanya? Butterscotch/Buttercream gitu,kayak kopi2 fore butterscotchbuttercream,negative
01/2024,apa? frappe gitu? point cafe enak. kalo kopi enakan fore,frappe point coffee cafe enak kopi enakan fore,positive
01/2024,fore enak bgt!!!,fore enak banget,positive
01/2024,"FORE ENAKK, pointcoffee jg enak",fore enakk pointcoffee enak,positive
01/2024,"- Tuku Kopi terenak menurut gw, ga tau kenapa suka aja sama kopi di sini - Djournal Coffee Masih banyak yang belum mention ini, padahal rasanya oke banget. Kudu cobain salted caramelnya - Fore Biasa kalo di mall tempatnya cozy enak buat gawe/nongkrong. Menu kesukaan gw iced",tuku kopi terenak suka kopi djournal coffee mention oke banget cobain salted caramelnya fore mall tempatnya cozy enak gawenongkrong menu kesukaan iced,positive
01/2024,fore sm tuku si must try,fore tuku si must try,positive
01/2024,fore atau ga tuku,fore tuku,negative
01/2024,"banyakk. fore, kopken, point, tomoro, tuku",banyakk fore kopi kenangan point coffee tomoro tuku,positive
01/2024,Fore sih,fore sih,negative
01/2024,"Fore, excelso, tuku",fore excelso tuku,negative
01/2024,Fore enakkkk bangett suka ada promonya jg ko,fore enakkkk bangett suka promonya ko,positive
01/2024,"Apa ya.. Excelso bisa kalo sukanya kopi yg duarr nendang mata, Fore kalo suka yg lebih light, kalo suka yg tengah2 bisa janji jiwa / kopi kenangan, yg kualitasnya masih suka beda antar gerai 1 sama lainnya kopi point / kopi jadoelnya beanspot",iya excelso sukanya kopi duarr nendang mata fore suka terang suka tengah2 janji jiwa kopi kenangan kualitasnya suka beda gerai 1 kopi point coffee kopi jadoelnya beanspot,positive
01/2024,"Fore, Point Coffee, Jco. Coba kedai kopi lokal daerahmu barangkali enak juga.. klo di bdg bisa ke Missbee Providore, Fullmoon, Garmelia, Kopi Teko (Jatinangor)",fore point coffee coffee jco coba kedai kopi lokal daerahmu barangkali enak bandung missbee providore fullmoon garmelia kopi teko jatinangor,positive
01/2024,Point coffee si aku sama foreee,point coffee coffee si foreee,positive
01/2024,FORE!!beli yg butterscotch iniii enaaak bgt,forebeli butterscotch iniii enaaak banget,positive
01/2024,"Fore, point coffee, janjiw, kopi kenangan aku lebih sering di 4 ini nder",fore point coffee coffee janjiw kopi kenangan 4,positive
01/2024,"fore, kopkem, point menurut aku",fore kopkem point coffee,neutral
01/2024,Fore cuyyyy enak bgt,fore cuyyyy enak banget,positive
01/2024,"Point coffee, Fore, Tuku, Kopken. Menurutku lbh enak mereka dripada s buxxx",point coffee coffee fore tuku kopi kenangan menurutku lbh enak dripada s buxxx,positive
01/2024,"Fore , tuku , poin itu top 3 aku",fore tuku poin top 3,neutral
01/2024,"fore, poin, makmur jaya, couve",fore poin makmur jaya couve,neutral
01/2024,sejauh ini kebanggaanku FORE sama POINT COFFEE.. tapi janjiw enak jg kok mayan :D,kebanggaanku fore point coffee coffee janjiw enak mayan,positive
01/2024,ak skrg tim fore,tim fore,neutral
01/2024,"Tuku, fore, djournal. Dah paten",tuku fore djournal deh paten,neutral
01/2024,"POINT COFFE, Fore, Kopken, Jco, Janji jiwa.",point coffee coffe fore kopi kenangan jco janji jiwa,negative
01/2024,"Fore, flash, kopken, tomoro, tuku (kqtanya enak bgt tp aku blm coba) ayokk nder masi banyak ko",fore flash kopi kenangan tomoro tuku kqtanya enak banget coba ayokk masi ko,positive
01/2024,fore akhir2 ini lg suka sama titik koma,fore akhir2 suka titik koma,positive
01/2024,fore sama kopi kenangan sih jagoan,fore kopi kenangan sih jagoan,positive
01/2024,"Kopi saku point , fore yang edisi butterscotch , cloud coffee koppi",kopi saku point coffee fore edisi butterscotch cloud coffee koppi,neutral
01/2024,Fore Tuku Lain hati,fore tuku hati,positive
01/2024,"Tuku, Arah, Fore, Janji Jiwa, sama Kopi Kenangan",tuku arah fore janji jiwa kopi kenangan,positive
01/2024,FORE NDER PLISS LEBIHH ENAKK,fore tolonglah lebihh enakk,negative
01/2024,Fore sihhh,fore sihhh,negative
01/2024,fore sih,fore sih,negative
01/2024,"banyak nder, ada point, fore, tuku, kopken, tomoro",point coffee fore tuku kopi kenangan tomoro,positive
01/2024,"Kamu nyari kopi apa tempat nongkrongnya nder? Kalau nyari kopi sih mestinya banyak banget yang lebih enak, Fore sama point coffee sih kalau aku.",kopi nongkrongnya kopi sih mestinya banget enak fore point coffee coffee sih,positive
01/2024,Tuku sama fore masih ada,tuku fore,negative
01/2024,"Point coffee, tuku, kopi kenangan, fore",point coffee coffee tuku kopi kenangan fore,positive
01/2024,"Fore, Toby's, atau coffee shop indie banyak yg enak kok",fore tobys coffee shop indie enak,positive
01/2024,"Fore. Cobain deeh dia enak juga kok, banyak promo juga dari appsnya. Harganya juga ga jauh beda lah sama b*x Terus tomoro juga enak. Aduuuh kamu dom mana sih nder? Kalo malang aku siap memberi rekomendasi kopi enak di malang :((((",fore cobain deeh enak promo appsnya harganya beda bx tomoro enak aduuuh dom sih malang rekomendasi kopi enak malang,positive
01/2024,"fore, kopken, tuku, point coffee ini sih yg biasa gue minum",fore kopi kenangan tuku point coffee coffee sih minum,positive
01/2024,tim fore dari dulu,tim fore,neutral
01/2024,Fore kalo ga tomoro,fore tomoro,negative
01/2024,"fore, janjiw, kopken, point coffe. banyak nder coffe shop tuhhhh. kamu dom mana btw",fore janjiw kopi kenangan point coffee coffe coffe shop tuhhhh dom ngomong-ngomong,positive
01/2024,Fore lebih enak dari yg diboikot itu.,fore enak diboikot,positive
01/2024,"-Point (juara umum yg cabangnya banyak) -Fore -Djournal -Calf -Tomoro and another local coffeeshop di dom kamu, kalo Bandung dm ajaa aku banyak rekomen yg enak",point coffee juara cabangnya fore djournal calf tomoro and another local coffeeshop dom bandung dm ajaa rekomen enak,positive
01/2024,Bisa cobain fore dan point aja nder,cobain fore point coffee,positive
01/2024,"kalo aku fore, enak nder",fore enak,positive
01/2024,"Ini makanya aku suka sekali sama fore, bahkan yg non coffe juga enakk",suka fore non coffe enakk,positive
01/2024,fore sih enak dan jauh dibawah sbuxionis harganya,fore sih enak dibawah sbuxionis harganya,positive
01/2024,"banyak nder, yg sering kubeli ya apalagi sering promo janjiw, kopken, fore, lawson, point coffee kl akhir2 ini tomoro trs",kubeli iya promo janjiw kopi kenangan fore lawson point coffee coffee akhir2 tomoro,positive
01/2024,"Fore, tomoro, tuku",fore tomoro tuku,neutral
01/2024,"Fore, kopken, dan banyak coffee shop kecil2 itu banyak yg enak krna biasanya owner-nya anak muda yg suka nongkrong",fore kopi kenangan coffee shop kecil2 enak krna ownernya anak muda suka nongkrong,positive
01/2024,"Ga pernah nyoba st4rb4k sih wkwk, karena selama ini ngopi enak2 aja cafe2 lokal kecil di lingkungan sekitar. Tapi kalo nyebut brand, FORE. Biasanya aku janjiw atau kopken tapi setelah melang-lang buana mencari kopi enak akhir2 ini FORE menarik bgt buat aku",nyoba st4rb4k sih wkwk ngopi enak2 cafe2 lokal kecil lingkungan nyebut brand fore janjiw kopi kenangan melanglang buana kopi enak akhir2 fore menarik banget,positive
01/2024,tuku dan fore,tuku fore,positive
01/2024,"POINT COFFEE ATAU FORE KAK, SUMPAH GA KALAH ENAK SAMA SBUX, BAHKAN LEBIH MURAHHH",point coffee coffee fore kak sumpah kalah enak starbucks murahhh,positive
01/2024,"Fore, tuku",fore tuku,neutral
01/2024,"Fore, tuku, calf, animo. Banyak shay",fore tuku calf animo shay,positive
01/2024,fore sm tuku lahh,fore tuku lahh,positive
01/2024,Lgsng kepikiran fore/pointcoffe,terpikirkan forepointcoffe,negative
01/2024,"Kamu dom mana nder, kalo yang umum ya fore, kalo dom solo jogja bisa couvee, kalo dom magelang ada kofibru",dom iya fore dom solo jogja couvee dom magelang kofibru,neutral
01/2024,"banyakkk. kalo cari kopi menurutku tuku, fore, sama calf. calf ini kayaknya masih banyak yang belum tauu, tapi enak bangett kopinya menurutku. kalo nyari matcha, tomoro enakk!! dia tipe matcha yang pahittt",banyakkk cari kopi menurutku tuku fore calf calf kayaknya tauu enak bangett kopinya menurutku matcha tomoro enakk tipe matcha pahittt,positive
01/2024,"Cafe lokal di sekitar mu bisa jadi opsi nder. Fore sama Point coffee juga enak. Kalau mau bikin sendiri lebih hemat, bisa di atur sesuka kita. Kopi bubuk nya coba waringkas. Krimer, gula aren juga banyak dijual dipasaran, susu nya pake oatside aja atau pilih yg fresh milk",cafe lokal mu opsi fore point coffee coffee enak bikin hemat atur sesuka kopi bubuk nya coba waringkas krimer gula aren dijual dipasaran susu nya pakai oatside pilih fresh milk,positive
01/2024,fore atau jco kali,fore jco,neutral
01/2024,"fore, tuku, point",fore tuku point coffee,negative
01/2024,"Tomoro, tuku, foree da bestt sii bisa pilih dr ketiga ituu local pride lagi kalo ga salah cmiiw",tomoro tuku foree da bestt sii pilih dr ituu local pride salah correct me if i'm wrong,positive
01/2024,"Fore, ejji, yoi kona, kopi kalyan, zerogram, bagi kopi. Gatau ini ada di banyak kota atau gak tp kalu di sby itu",fore ejji yoi kona kopi kalyan zerogram kopi gatau kota gak kalu sby,positive
01/2024,"coklat pertama yg bikin aku pas minum langsung terharu enak banget sampe ga berenti2 cerita sama org kalo fore enak , sampe disimpen sisanya dikulkas pas diminum lagi masih enak wkwkwk jadinya setiap pulang naik kereta beli mulu yg large.",coklat bikin pas minum terharu enak banget berenti2 cerita org fore enak disimpen sisanya dikulkas pas diminum enak wkwkwk pulang kereta beli melulu large,positive
01/2024,Fore enakkk bgt sayang gabisa nongkrong:(,fore enakkk banget sayang gabisa nongkrong,positive
01/2024,fore deket rumahku bisa nongkrong dan wfc hehehe,fore deket rumahku nongkrong kerja kafe hehehe,positive
01/2024,"Tuku, fore, tomoro",tuku fore tomoro,negative
01/2024,"Fore, tuku, point coffe, peskop murah",fore tuku point coffee coffe peskop murah,positive
01/2024,klo lagi di smg ak beli fore klo ga kopi shop lokal. klo di rumah ada kofibru tu jg enak,smg beli fore kopi shop lokal rumah kofibru tu enak,positive
01/2024,fore sm point rasa nya mirp,fore point coffee nya mirp,neutral
01/2024,"Temen2 gw yg tadinya ke sbux sih pindah ke fore nder, kalo ngga bs ke tuku atau tomoro",teman-teman starbucks sih pindah fore tuku tomoro,neutral
01/2024,tuku sama fore best so far sih,tuku fore best so far sih,positive
01/2024,fore nder sedap betul,fore sedap,positive
01/2024,"calf coffee enak nder, atau fore yang udah ada di mana-mana",calf coffee enak fore manamana,positive
01/2024,"fore enakkk, tempatnya cozy banget",fore enakkk tempatnya cozy banget,positive
01/2024,"flash coffee, tuku, tomoro, fore",flash coffee tuku tomoro fore,positive
01/2024,FORE!!!! Enak bgt salt creamnya sama matchanya jg gak kalah kaya sb. Tomoro jg mantep kopinya,fore enak banget salt creamnya matchanya gak kalah kaya sb tomoro mantap kopinya,positive
01/2024,"fore, di Bandung daerah DU enak buat nongkrong",fore bandung daerah du enak nongkrong,positive
01/2024,"Tuku, fore, tomoro, kopken,famima. Sejauh ini itu siih favorit w diluar sbux",tuku fore tomoro kopkenfamima siih favorit diluar starbucks,positive
01/2024,"Kopi kenangan, Fore",kopi kenangan fore,positive
01/2024,fore sama point coffee sihh,fore point coffee coffee sihh,positive
01/2024,"Kalo di jkrt / tnrg, bisa ke Maxx Coffee + Fore + Djournal ...ini juga termasuk yang enak kok + vibes2 nya bener2 cocok kalo buat kerja serius dan gak norak . Kopi nya juga berasa classy",jkrt tnrg maxx coffee fore djournal enak vibes2 nya bener2 cocok kerja serius gak norak kopi nya berasa classy,positive
01/2024,tuku fore sejauh ini fav aku itu,tuku fore favorit,positive
01/2024,"Aku fore sie, kadang point",fore sie kadang point coffee,negative
01/2024,"Nescafe zero sugar yg ini. Fore (kopinya biar bukan americano gak tahu knp gak cocok di gw, bikin deg2an) KopKen (kopinya gak cocok di perut, boro2 ngantuk, sakit perut jd melek terus)",nescafe zero gula fore kopinya biar americano gak gak cocok bikin deg2an kopi kenangan kopinya gak cocok perut boro2 ngantuk sakit perut melek,negative
01/2024,"nescafe classic, klo mau di coffee shop, americano nya fore deh itu strong",nescafe classic coffee shop americano nya fore deh strong,positive
01/2024,"Tuku, fore, fam mart, point",tuku fore fam mart point coffee,neutral
01/2024,"point coffee nderr sumpah enakk fore juga, mana lebih murah lagi",point coffee coffee nderr sumpah enakk fore murah,positive
01/2024,"fore, tomoro, kopi kenangan",fore tomoro kopi kenangan,positive
01/2024,"point, fore, janjiw",point coffee fore janjiw,negative
01/2024,"Tomoro,fore,kopken,janjiw,point",tomoroforekopkenjanjiwpoint,neutral
01/2024,"Tuku, Point coffee, Fore",tuku point coffee coffee fore,positive
01/2024,"tuku, fore, point",tuku fore point coffee,negative
01/2024,Moso point rasane koyo fore,point coffee rasane koyo fore,neutral
01/2024,"tomoro & point sih, fore bekum pernah coba tapi katanya enak juga",tomoro point coffee sih fore bekum coba enak,positive
01/2024,"Fore, kenangan, janji jiwa, jco, tomoro coffee, roti o, cafe lokal di daerah lu",fore kenangan janji jiwa jco tomoro coffee roti o cafe lokal daerah,positive
01/2024,"Fore, tomoro, tuku. 3 ini enak kata gw mah dan tergolong udah banyak di mana2. Tempatnya juga banyak yg udah oke",fore tomoro tuku 3 enak mah tergolong mana2 tempatnya oke,positive
01/2024,"Fore plissss. Baru aja tadi minum fore sambil mikir ini pengganti sb*x buat gue, harga lebih murah lagi",fore plissss minum fore mikir pengganti sbx harga murah,positive
01/2024,"Samaan. Kalau mau aman, kopsus tetangga aja udah. Djournal aku suka kopi rempahnya, dan kalau sebelahan sama people's cafe enak bisa sambil pesen makan. Fore double shaken latte. Dan apa pun itu selalu mesen no sugar atau less kalau pengen manis. Kalau engga pada manis2 bgt",samaan aman kopsus tetangga djournal suka kopi rempahnya sebelahan peoples cafe enak pesen makan fore double shaken latte mesen gula pengen manis engga manis2 banget,positive
01/2024,Point enak tpi fore juga lebih comfy,point coffee enak fore comfy,positive
01/2024,fore yg creamy varian apa sih guys? pen nyoba tapi ga suka yg strong kopinya,fore creamy varian sih teman-teman pengen nyoba suka strong kopinya,positive
01/2024,enakan mana sama fore?,enakan fore,negative
01/2024,Menyimak rep orangorang agar ketika membeli fore tidak salah pesen,menyimak rep orangorang membeli fore salah pesen,neutral
01/2024,Fore tinggal sedikit,fore,negative
01/2024,Ihh sebel banget deket sini ga ada fore,ihh sebel banget deket fore,negative
01/2024,"dia engga sih kak cuma namanya dan aslinya kopi Irish tuh mengandung wishki, tapi tetep aja walaupun fore bahannya halal kalau namanya irish coffee ga bisa jadi halal ex: gacoan var. mie setan n iblis (sekarang mie var. gacoan n mie suit) biar bisa jd halal",engga sih kak namanya aslinya kopi irish tuh mengandung wishki tetep fore bahannya halal namanya irish coffee halal gacoan var mie setan iblis mie var gacoan mie suit biar halal,negative
01/2024,berartii sertifikasi halal nya ini baru keluar ya ka? soalnya aku ada dm fore nya langsungg,berartii sertifikasi halal nya keluar iya kakak dm fore nya langsungg,neutral
01/2024,GAK ADA FOTONYA TP FORE BUTTERCREAM LATTE BEST COFFEE EVAH,gak fotonya fore buttercream latte best coffee evah,neutral
01/2024,fore butterscoath sama kopi braun,fore butterscoath kopi braun,positive
01/2024,Kopi tuku tapi gak tau namanya pokoknya yg kopsus gula aren Kopi kenangan yang CEO secret Fore yg butterscot sea salt Point coffee yg palm sugar latte dan coklat frappe less sugar,kopi tuku gak namanya pokoknya kopsus gula aren kopi kenangan ceo secret fore butterscot sea salt point coffee coffee palm gula latte coklat frappe gula,positive
01/2024,"fore dong, pesennya butterscotch seasalt latte enak bgtt",fore pesennya butterscotch seasalt latte enak bgtt,positive
01/2024,fore tp trgantung budget sih…,fore trgantung budget sih,negative
01/2024,Point. Fore mahal dan kecil,point coffee fore mahal kecil,negative
01/2024,"Point, fore kemanisan",point coffee fore kemanisan,neutral
01/2024,"Sejauh ini fore. Sebenernya kopi baper enak2, lebih murah juga, tapi sugar nya gak bisa custom, jadi terlalu manis :( Kalau gak masalah sama terlalu manis atau suka kopi yg manis bisa pilih kopi baper instead of fore",fore sebenernya kopi baper enak2 murah gula nya gak custom manis gak manis suka kopi manis pilih kopi baper instead of fore,positive
01/2024,"sbnrny fore, tp jauh dari rumah, jd milih point yg deket",fore rumah milih point coffee deket,positive
01/2024,"Fore . Duh, dah lama gak beli fore. Pengen berry americanonya",fore aduh deh gak beli fore pengen berry americanonya,negative
01/2024,belom pernah coba fore,coba fore,neutral
01/2024,Fore jauhh,fore jauhh,negative
01/2024,GW ABIS BELI FORE AAAAAAAA,habis beli fore aaaaaaaa,positive
01/2024,Jadi pngen Fore,pngen fore,neutral
01/2024,jd kangen fore,kangen fore,neutral
01/2024,"Mamaku tipe yg kek gini. And so opposite with my dad. Jd aku selalu cari tengahnya aja, beli martabak ato roti kek breadtalk gitu aja. Pasti dimakan krn gabisa bikin sendiri wkwkwkwkwk kalo bokap mah bisa ditambah sm beliin kopi fore or kopken. Aman dahh hehe",mamaku tipe gini and so opposite with my dad cari tengahnya beli martabak roti breadtalk dimakan gabisa bikin wkwkwkwkwk ayah mah ditambah belikan kopi fore or kopi kenangan aman dahh he,positive
01/2024,Duhh ini fav ku juga. Dah lama ga minum fore jd pengen,duhh favorit ku deh minum fore pengen,positive
01/2024,"Fore itu ads beraps cup, Kak? Ada yang punya daftar menunya? Saya mutasi poin dan kenangan.",fore ads beraps cup kak daftar menunya mutasi poin kenangan,neutral
